,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-3087590507.5568,-4546335235.288794,-733294965.9220536,-1345525246.499285,76982816.13992298,9647858376.412504,-12028208.682212057
1801-12-31,-3088637751.4600043,-4547912704.604284,-733354874.3690734,-1345628272.4219606,76969021.20996433,9648209337.832521,-9589224.840561243
1802-12-31,-3089279218.1186175,-4548936933.728104,-733403665.8671737,-1345723783.8926358,76959439.62440056,9648560496.487442,-8128471.243688491
1803-12-31,-3089737576.5440006,-4549720794.423423,-733444408.3533922,-1345811630.5252042,76951572.92638537,9648911516.347408,-7106761.200265801
1804-12-31,-3090095399.004545,-4550371456.356518,-733479150.3458056,-1345892639.260338,76944527.16458958,9649263591.77995,-6332502.788608658
1805-12-31,-3090392293.80785,-4550936511.276756,-733509341.6757345,-1345967729.5219355,76937943.15343395,9649615181.429989,-5712963.163935133
1806-12-31,-3090650031.303913,-4551441316.60638,-733536033.1783779,-1346037808.228338,76931590.87168434,9649967008.492405,-5202200.375473522
1807-12-31,-3090881408.144684,-4551900946.45281,-733559885.4936204,-1346103608.9301047,76925415.10438228,9650318959.739979,-4769934.051964726
1808-12-31,-3091094173.6011343,-4552325431.6446495,-733581535.5106907,-1346165869.8739533,76919307.49676278,9650672119.965033,-4398088.298210572
1809-12-31,-3091293409.6864004,-4552720765.117932,-733601395.6093391,-1346224977.6963053,76913300.40653878,9651024166.177507,-4072578.030795115
1810-12-31,-3091488103.07194,-4553100300.151,-733620209.2463225,-1346282306.4741366,76907059.90179023,9651410856.352547,-3804316.8209617534
1811-12-31,-3091685397.696622,-4553474055.622736,-733638505.5757931,-1346338775.552093,76900456.42247787,9651840960.142538,-3583549.501189179
1812-12-31,-3091881302.095468,-4553836177.433554,-733656146.9356728,-1346394009.1645527,76893727.27579036,9652271977.057457,-3378064.2514892574
1813-12-31,-3092075025.274171,-4554185552.479174,-733673159.9798651,-1346448042.070352,76886933.7699219,9652702077.195,-3188413.201703155
1814-12-31,-3092266386.765384,-4554523388.746203,-733689591.4032269,-1346500960.576169,76880097.0405015,9653132495.099934,-3014531.5695875883
1815-12-31,-3092455886.0317116,-4554849913.3659115,-733705573.7682081,-1346552863.1087012,76873238.87886974,9653562712.117521,-2854975.4366101623
1816-12-31,-3092643785.032625,-4555167107.050241,-733721137.1037576,-1346603995.4854126,76866391.58664337,9653994167.33248,-2710595.137136963
1817-12-31,-3092829864.882185,-4555474837.461102,-733736308.0929173,-1346654276.3168132,76859514.29347983,9654424453.747519,-2575598.3301839684
1818-12-31,-3093014264.1544437,-4555773948.378641,-733751177.8843514,-1346703846.868342,76852650.75085211,9654854561.190022,-2451549.170989674
1819-12-31,-3093197244.899103,-4556065575.588476,-733765739.0946537,-1346752785.1628883,76845766.19694641,9655285198.245052,-2337894.6599073373
1820-12-31,-3093373194.008767,-4556341505.324648,-733779666.1315392,-1346800290.6100128,76839184.41265687,9655680285.517467,-2213714.2720975755
1821-12-31,-3093540110.542724,-4556599427.76359,-733792844.2796568,-1346847149.9860272,76832700.54065624,9656056650.074953,-2099346.567841007
1822-12-31,-3093702804.99265,-4556847700.687517,-733805723.5504401,-1346893742.6125846,76826181.77390942,9656433029.242533,-1999290.8223902164
1823-12-31,-3093862960.69897,-4557088990.150597,-733818352.6890217,-1346940042.8272843,76819712.68354654,9656810040.292402,-1909907.205462552
1824-12-31,-3094021294.2293777,-4557324722.58178,-733830766.813598,-1346986022.593997,76813230.1345121,9657187778.19001,-1829089.3890631094
1825-12-31,-3094178397.2194204,-4557555419.851166,-733843003.5649879,-1347031714.8623683,76806742.16640753,9657566009.17507,-1755433.8916582332
1826-12-31,-3094334222.2008038,-4557781480.724931,-733855094.1236014,-1347077185.4482193,76800274.4880825,9657943995.442553,-1687790.898488037
1827-12-31,-3094489192.69098,-4558003565.940762,-733867036.8245133,-1347122403.8643281,76793797.586838,9658322584.37253,-1625923.8939383985
1828-12-31,-3094643448.813386,-4558222098.271493,-733878847.2733659,-1347167390.4119716,76787311.82343462,9658701954.937508,-1569422.0829187247
1829-12-31,-3094796960.778778,-4558437110.400406,-733890544.7169544,-1347212219.1785452,76780818.74557263,9659081113.65747,-1517201.1127614495
