,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-922930745.9490123,-1440650514.9204197,-276436240.5901036,-541268029.8350506,79940615.94719528,3100525601.6121483,804849.6637818743
1801-12-31,-922806435.980766,-1440472727.642869,-276403549.8138493,-541208613.3568124,79952201.74612817,3100935033.445008,5326.417391545605
1802-12-31,-922764100.869523,-1440459077.293004,-276383399.7500475,-541169976.1832922,79958506.99564394,3101343874.226369,-520908.308098109
1803-12-31,-922758357.1194298,-1440508622.6940658,-276370168.60320413,-541143142.1113672,79961724.44967401,3101752095.9440207,-925788.1725588776
1804-12-31,-922777091.0631009,-1440594965.808885,-276361595.02828604,-541124314.7147822,79962812.39038804,3102161176.1628137,-1255988.146788329
1805-12-31,-922813939.826972,-1440705510.7449236,-276356446.56885135,-541111420.444292,79962323.88460132,3102568179.451028,-1531248.247499953
1806-12-31,-922865224.4622372,-1440833500.5451064,-276353965.50546587,-541103214.2757764,79960604.46946216,3102974592.9605675,-1765740.5286683422
1807-12-31,-922928394.2782202,-1440974700.6140575,-276353632.19256055,-541098856.5214597,79957895.08860636,3103380397.775517,-1967769.6817556762
1808-12-31,-923001736.5463395,-1441126506.293556,-276355079.7821801,-541097753.3510704,79954365.20888883,3103787048.736259,-2144190.053307123
1809-12-31,-923083563.7306333,-1441286559.4559836,-276358008.629959,-541099425.5941563,79950162.56596032,3104191629.0136895,-2297042.530292193
1810-12-31,-923179994.4335315,-1441463781.420503,-276362681.5587805,-541104614.5927668,79945002.26895462,3104662390.0497026,-2477884.5164883626
1811-12-31,-923304108.5435717,-1441675028.8919973,-276369817.3805032,-541115319.0288155,79938296.965424,3105289368.7871904,-2743112.4050825797
1812-12-31,-923445085.9694073,-1441904892.1597114,-276378727.7129377,-541129978.4327315,79930618.1910958,3105918109.8198123,-2968203.277358186
1813-12-31,-923598625.6973938,-1442147503.0688217,-276389056.71706283,-541147804.2190093,79922221.98117712,3106544955.184094,-3161011.713580155
1814-12-31,-923762424.7979527,-1442399934.1012914,-276400591.9176029,-541168352.6020886,79913248.55073039,3107171509.2300897,-3329115.3414804665
1815-12-31,-923934858.2373569,-1442660267.1604743,-276413178.12455934,-541191280.6944178,79903794.5441552,3107797906.992884,-3476757.264352831
1816-12-31,-924114893.2893249,-1442927413.4414635,-276426706.4142712,-541216362.6116816,79893922.35381073,3108426067.1107016,-3608344.035225427
1817-12-31,-924301249.8282728,-1443199903.5516503,-276441057.7288715,-541243337.888979,79883704.96601897,3109052329.916226,-3723421.2890337147
1818-12-31,-924493180.9168224,-1443476999.4542031,-276456148.0755189,-541272022.7590525,79873187.94213003,3109678287.35482,-3825356.039182192
1819-12-31,-924690046.2755389,-1443758186.7696114,-276471908.2299808,-541302260.1973886,79862407.69547066,3110304088.6410255,-3915839.207151192
1820-12-31,-924883766.0684574,-1444032032.2340255,-276487772.1457185,-541332763.3034451,79851802.90653048,3110860270.7686844,-3947144.524898967
1821-12-31,-925047095.1680042,-1444266072.890825,-276502117.73800164,-541358803.5150945,79842471.71983168,3111155647.588633,-3797064.2499665613
1822-12-31,-925196646.8533373,-1444482532.1506667,-276515711.29516333,-541382593.3793912,79833717.79055932,3111449761.120234,-3679810.861180656
1823-12-31,-925337508.2418346,-1444688088.2368386,-276528832.42839265,-541404920.9267188,79825306.97631833,3111742345.153204,-3582757.56436905
1824-12-31,-925472356.7090876,-1444886223.8536503,-276541624.2422645,-541426199.9353657,79817119.50264668,3112034832.395309,-3500539.7520278003
1825-12-31,-925602416.3725381,-1445078449.4567497,-276554145.7606415,-541446611.3981837,79809103.57800926,3112324051.711319,-3427004.1790721854
1826-12-31,-925728793.4586474,-1445266112.227141,-276566451.28412277,-541466326.5798402,79801213.89397547,3112612021.513284,-3361450.6732876725
1827-12-31,-925852168.5825605,-1445450033.1318135,-276578576.2868412,-541485463.8824779,79793421.16306525,3112898455.211846,-3301920.974104379
1828-12-31,-925973195.8860383,-1445631013.9321303,-276590557.37703305,-541504113.979975,79785696.38402955,3113184763.1920495,-3248214.5018854127
1829-12-31,-926091968.7893088,-1445809092.8842492,-276602398.9660465,-541522300.4311625,79778037.4615627,3113467787.067048,-3197033.0634590206
