,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-1132356437.3353093,-1888771364.3047922,-1249424808.5116396,-2662750674.952677,404643779.07964456,6525848695.589249,2716090.868458645
1801-12-31,-1132378782.6831708,-1888765180.0096457,-1249197516.9189057,-2662522686.9041643,404633999.52966225,6527262082.6821995,928359.4332924294
1802-12-31,-1132688694.1867647,-1888938606.9736514,-1249167621.7594194,-2662575340.3062534,404593509.9620873,6528675243.526211,65140.6904436007
1803-12-31,-1133126552.0849855,-1889235327.1907535,-1249214871.479218,-2662714434.17962,404543549.2090939,6530088502.983252,-350068.60932398017
1804-12-31,-1133626228.024631,-1889605567.2546186,-1249297428.691702,-2662887048.512121,404489683.7461989,6531505077.612588,-568176.3296902732
1805-12-31,-1134155043.562738,-1890016650.4264357,-1249397180.2955089,-2663074832.2131953,404434208.47422034,6532918202.443661,-686185.0062421978
1806-12-31,-1134698241.4456491,-1890451194.5820737,-1249505934.3484108,-2663269577.4433775,404378436.2572386,6534330902.637583,-754629.1410591328
1807-12-31,-1135246434.46423,-1890898815.3895578,-1249619943.8819907,-2663466776.9283338,404323252.0451191,6535742841.846349,-795768.9491585688
1808-12-31,-1135799938.3812735,-1891355390.0090787,-1249736540.3694031,-2663667587.4868207,404267433.2040772,6537158760.103569,-819400.1878617919
1809-12-31,-1136360345.7766855,-1891819133.2081022,-1249854032.348381,-2663873252.8565307,404210153.9813867,6538570772.653384,-830389.5370541278
1810-12-31,-1136959672.8500726,-1892322705.0521843,-1249981468.854816,-2664093644.323573,404148987.66091776,6540151101.807637,-901194.6075715495
1811-12-31,-1137646292.6418433,-1892904485.3542116,-1250127119.2589068,-2664349516.385888,404077812.31554943,6542027646.145721,-1029646.6541068432
1812-12-31,-1138362072.9385314,-1893512127.2896872,-1250280221.7832704,-2664614308.671844,404005561.440579,6543909068.807679,-1091829.2395299093
1813-12-31,-1139096179.8383944,-1894131333.5868356,-1250435926.662975,-2664886739.8782806,403930943.28123665,6545785755.326941,-1114342.0775608954
1814-12-31,-1139829504.930846,-1894753882.1715052,-1250593551.523455,-2665157362.9567704,403857687.8370962,6547662209.605316,-1129162.3218830633
1815-12-31,-1140571511.0217328,-1895379608.1200926,-1250751601.4028153,-2665432326.7352552,403782944.0218259,6549538344.725686,-1133389.4215209172
1816-12-31,-1141313381.5781322,-1896006746.1196687,-1250910309.8656821,-2665706712.8101177,403708553.7198098,6551419448.809267,-1138114.0984440718
1817-12-31,-1142050791.3648403,-1896633460.1469026,-1251069604.6096692,-2665978729.1343303,403635477.0692181,6553296035.938872,-1142705.0766695777
1818-12-31,-1142794492.719086,-1897262088.6772964,-1251228574.5122797,-2666254566.3555465,403560507.3290251,6555172265.682722,-1139897.0673706338
1819-12-31,-1143531945.7335107,-1897889184.6595063,-1251387892.7621193,-2666526845.9929996,403487226.8496162,6557048194.052964,-1142573.6818569358
1820-12-31,-1144232557.5004077,-1898479139.9454744,-1251538125.4458122,-2666784997.6531887,403417562.2818914,6558748552.197363,-1081399.300040876
1821-12-31,-1144825585.8881605,-1898975698.2881503,-1251667473.8092415,-2666998267.174764,403360873.0036814,6560098261.374867,-936822.292200905
1822-12-31,-1145391070.4076183,-1899448058.490999,-1251789156.3851223,-2667204515.6559234,403304496.58131456,6561447327.975301,-872589.034293235
1823-12-31,-1145938178.143179,-1899907028.0758343,-1251907218.5614014,-2667403784.7940497,403249659.32535017,6562795321.927498,-844171.820511159
1824-12-31,-1146479022.5840793,-1900361645.0485482,-1252023961.9090714,-2667600859.029796,403195157.8529706,6564146917.303035,-832467.1526841723
1825-12-31,-1147016193.5093932,-1900813204.2002077,-1252139762.044989,-2667796543.8256617,403140883.7663447,6565493986.470409,-825332.4209501699
1826-12-31,-1147551757.4894753,-1901263267.2744412,-1252255089.1215782,-2667991658.0163546,403086699.445707,6566840529.144758,-821754.6113725334
1827-12-31,-1148086328.273311,-1901712648.9119394,-1252370193.9281805,-2668186470.8473473,403032555.65141124,6568186485.10021,-819757.6480919973
1828-12-31,-1148621307.553024,-1902162218.3213096,-1252485345.4962296,-2668381409.029893,402978330.7867147,6569535399.722362,-819758.4923016638
1829-12-31,-1149155332.8783953,-1902610938.4940174,-1252600296.731323,-2668575990.121985,402924198.74868184,6570880355.051639,-818398.5271593486
1830-12-31,-1232869828.5453675,-1941170660.1068575,-1252718588.0758457,-2740706563.673381,402873415.06119573,6928771450.77548,-157986214.8558146
1831-12-31,-1274090285.966036,-1960294113.9154232,-1252838088.768858,-2772403517.178948,402827972.1947025,6929770562.572882,-70139644.52081667
1832-12-31,-1292386128.7905223,-1969400639.5073516,-1252961498.887094,-2785998662.654472,402783863.91017103,6930772013.464515,-31502857.755279057
1833-12-31,-1300448626.3392284,-1973826402.3921664,-1253083797.0579438,-2791935516.6778355,402741113.0174776,6931771620.528908,-14590665.995951675
1834-12-31,-1304123428.4400876,-1976109695.6717482,-1253201305.9771,-2794627908.6984463,402699564.92016155,6932770521.415268,-7096234.230996731
1835-12-31,-1305928668.2441766,-1977400130.2842803,-1253312498.7228975,-2795916405.6246195,402658861.8751409,6933769420.518818,-3708901.760715983
1836-12-31,-1306935464.7102365,-1978224306.0821247,-1253417573.9365106,-2796586892.7477813,402618405.9454471,6934770708.105769,-2138881.9542759745
1837-12-31,-1307597472.5277758,-1978815367.50647,-1253517275.2370577,-2796977188.07959,402578490.7026907,6935769927.724649,-1387631.866596132
1838-12-31,-1308107544.0358899,-1979290300.5264444,-1253612329.6998427,-2797239194.8573375,402538798.7319957,6936768566.487891,-1012625.7679149718
1839-12-31,-1308553273.2065105,-1979705429.7447891,-1253704610.2149794,-2797442193.434321,402498921.340453,6937767237.200604,-824206.4796521093
1840-12-31,-1309048410.9649353,-1980153524.5482202,-1253810171.0658796,-2797648162.4073935,402449914.9825436,6939072121.3955,-824866.0629840215
1841-12-31,-1309649308.9000628,-1980684562.438484,-1253938413.2252393,-2797882526.7106657,402386891.2427117,6940756415.831652,-936505.7623281647
1842-12-31,-1310293497.797401,-1981238334.833416,-1254074687.4811575,-2798125378.228916,402319277.577742,6942439224.701227,-973112.2966040233
1843-12-31,-1310951501.312791,-1981797860.6770632,-1254214678.510159,-2798368055.3206625,402251597.0810671,6944120900.37931,-987550.029695681
1844-12-31,-1311616342.0201492,-1982360153.1547365,-1254356789.6674476,-2798610838.043047,402183618.18616295,6945806008.774517,-993103.7586688551
1845-12-31,-1312282687.521169,-1982921650.5964034,-1254499678.3137348,-2798852900.9345536,402115682.5625774,6947485261.211267,-992161.0795089433
1846-12-31,-1312949474.2241616,-1983482337.5344555,-1254642897.4629526,-2799094302.768103,402047768.8982784,6949163055.151934,-990327.5537791601
1847-12-31,-1313613273.7473092,-1984042205.608819,-1254786550.7305443,-2799333401.406006,401980746.6509995,6950839406.250552,-990391.8872249483
1848-12-31,-1314283227.0685205,-1984602537.5716414,-1254930084.0551426,-2799576092.6008606,401912114.4598769,6952519216.737199,-987918.2649021564
1849-12-31,-1314950226.5240536,-1985160790.3457482,-1255073325.1880298,-2799816732.282586,401844101.09004205,6954192975.963037,-985043.8374463455
1850-12-31,-1315661476.3140423,-1985758465.8261852,-1255225681.446148,-2800075205.3032885,401770829.17295384,6956047919.196966,-1043525.9881660197
1851-12-31,-1316471948.2985413,-1986444365.9487562,-1255398401.0423985,-2800373677.3324494,401686327.9863182,6958244639.566242,-1180635.3682912856
1852-12-31,-1317316487.5457163,-1987159038.2050426,-1255579308.9524076,-2800682060.883002,401600843.13728184,6960445887.805253,-1246337.5645737043
1853-12-31,-1318178777.8609881,-1987885327.1611204,-1255763365.5979261,-2800997622.332745,401512875.5363535,6962640381.45014,-1268869.7400281678
1854-12-31,-1434899380.423365,-2111727932.806883,-1288981987.771806,-2802281008.543439,376497810.35994774,7499668804.953462,-229798560.49486464
1855-12-31,-1489020537.108332,-2166050515.99238,-1305555851.4401405,-2803599074.9921064,370327612.29328763,7501860426.466292,-104110998.40820526
1856-12-31,-1513284062.133191,-2189951584.0409727,-1314004384.427708,-2804590202.526286,368270439.63601184,7504056481.679538,-48691255.93384371
1857-12-31,-1524521785.3871999,-2200935370.7422137,-1318406511.189476,-2805292256.4753194,367468913.504944,7506245088.852757,-23657795.35178734
1858-12-31,-1530069532.5480225,-2206337124.1955786,-1320764910.5059788,-2805816587.3301697,367105057.4956677,7508432042.418697,-12070886.371565826
1859-12-31,-1533090722.7562206,-2209257030.9694076,-1322075543.8988183,-2806243552.702026,366905478.0474928,7510617410.305519,-6582092.189331656
1860-12-31,-1534940760.5023003,-2211018070.875585,-1322839309.312116,-2806610483.341538,366774345.7317163,7512677431.287114,-3894951.805029034
1861-12-31,-1536190045.6125753,-2212183034.054649,-1323308643.4336178,-2806922279.866388,366678117.1309265,7514517828.643209,-2493083.7308319933
1862-12-31,-1537167902.7584414,-2213071798.885403,-1323627749.7949946,-2807211335.7429733,366594276.0151905,7516355889.733215,-1796467.4515399095
1863-12-31,-1538014240.1371706,-2213825914.2357388,-1323868898.5266879,-2807488451.605511,366516367.303511,7518191743.030091,-1445288.6934463677
1864-12-31,-1538798852.8131633,-2214511264.333139,-1324069679.2316523,-2807759688.143184,366440722.38515884,7520030228.121999,-1264387.2406579694
1865-12-31,-1539553897.5917048,-2215162155.321518,-1324249535.062305,-2808027795.711797,366366301.6709123,7521861824.65514,-1171546.3781152782
1866-12-31,-1540296508.833793,-2215794849.071375,-1324418171.0403676,-2808295941.239398,366291150.73105896,7523690264.266126,-1117875.8203775026
1867-12-31,-1541028131.889527,-2216416214.1429763,-1324580900.0997038,-2808560600.6003175,366217224.0360641,7525515885.412264,-1090387.4486768863
1868-12-31,-1541755641.5706105,-2217032869.4507723,-1324740923.3238099,-2808824441.4694643,366143538.8297288,7527343816.68937,-1077058.141450739
1869-12-31,-1542479435.3909547,-2217645198.1335297,-1324899144.465478,-2809086982.8734097,366070162.6234526,7529163884.796585,-1067290.7600705873
1870-12-31,-1543258769.116672,-2218308597.661167,-1325068831.5634842,-2809371272.849479,365991022.7166898,7531223297.060598,-1144058.2236294975
1871-12-31,-1544178249.0257201,-2219092784.3726907,-1325265374.8975163,-2809713102.6557817,365895022.158919,7533742174.26217,-1323928.0435296234
