,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-1463976916.3949418,-2035046637.435242,-575616769.6773171,-1094039300.1707253,126329319.84444606,5042853203.914875,-507367.30594818434
1801-12-31,-1464200156.778357,-2035424522.9704132,-575575726.6527053,-1093982089.5656767,126333379.72688028,5043515631.408183,-660230.0500195973
1802-12-31,-1464373749.8053277,-2035709548.1506429,-575558107.9627435,-1093965070.3631856,126329686.3760012,5044177742.223907,-896299.2065978168
1803-12-31,-1464552219.6804,-2035979041.365333,-575554733.1404811,-1093972425.770648,126321312.7950034,5044839685.306627,-1098936.2261330052
1804-12-31,-1464745051.5025651,-2036249201.4620967,-575561002.9850675,-1093996001.0618575,126309905.49681856,5045502954.591255,-1264464.5485779515
1805-12-31,-1464948673.5022037,-2036519726.5287538,-575574391.8283944,-1094030859.359845,126296687.41703887,5046164230.881251,-1385472.9378811093
1806-12-31,-1465163486.8229456,-2036793515.2316787,-575593253.4372228,-1094073934.111698,126282122.23521228,5046825527.239468,-1481199.207552069
1807-12-31,-1465387357.8798902,-2037070005.4348476,-575616337.3989254,-1094123073.7069771,126266594.81566761,5047486190.201278,-1553257.9265430954
1808-12-31,-1465619162.1806266,-2037348709.8515286,-575642854.7043159,-1094176848.6280644,126250364.9985407,5048148436.836292,-1607956.595003707
1809-12-31,-1465857053.1013732,-2037628700.5766997,-575672082.303445,-1094234129.49811,126233637.11337246,5048808825.915394,-1646858.0884069228
1810-12-31,-1466112821.9476352,-2037924864.4685764,-575704985.5850933,-1094297221.9098406,126215484.04109307,5049553571.894851,-1725433.7029135067
1811-12-31,-1466404088.0277572,-2038257461.6226535,-575743244.2158465,-1094370049.9764528,126194699.76864406,5050461159.024032,-1875511.3763702896
1812-12-31,-1466715334.8123364,-2038606804.3589745,-575785019.5530336,-1094448588.279572,126172670.7915737,5051371291.37154,-1981926.8447357304
1813-12-31,-1467039611.5509467,-2038965432.0072787,-575829408.9942857,-1094531060.3105695,126149920.65277809,5052279150.152852,-2057165.9120181503
1814-12-31,-1467372753.3730931,-2039330341.6131973,-575875813.8161554,-1094616417.50821,126126709.56243332,5053186567.677429,-2110715.90286375
1815-12-31,-1467713718.145029,-2039700063.0367491,-575923785.231295,-1094704134.9155376,126103041.40300345,5054094022.968169,-2148714.7839242984
1816-12-31,-1468058169.0761933,-2040071652.8751054,-575973077.1968958,-1094793409.723401,126079301.66686356,5055003867.42669,-2176641.6330228406
1817-12-31,-1468406244.5309126,-2040445185.069797,-576023481.7532809,-1094884025.4629045,126055354.00678925,5055911325.431965,-2197513.01150953
1818-12-31,-1468757462.180357,-2040820358.5035303,-576074813.1660111,-1094975745.1710362,126031207.31720309,5056818450.456327,-2212313.5567417084
1819-12-31,-1469110052.058673,-2041195888.3393586,-576126887.9587715,-1095068176.3013144,126007038.4765861,5057725708.3608465,-2221676.246990917
1820-12-31,-1469450814.83926,-2041555922.624909,-576178073.1272012,-1095158002.4348524,125983860.42079212,5058544368.176234,-2175798.5744968215
1821-12-31,-1469750914.9304016,-2041869517.3918614,-576225260.9851696,-1095238319.7225056,125963345.12125768,5059144895.772821,-2015635.1548010504
1822-12-31,-1470030805.3751855,-2042162540.236072,-576270400.4286629,-1095313888.2900755,125943947.51192121,5059744840.408515,-1903161.8752114037
1823-12-31,-1470298191.8168616,-2042443489.7492414,-576314081.1198645,-1095386341.5207865,125925154.67128836,5060343955.409116,-1819813.6014038238
1824-12-31,-1470557053.2575173,-2042716465.1722558,-576356648.9930176,-1095456542.715844,125906762.77501373,5060944131.0905905,-1756894.396530513
1825-12-31,-1470809750.1603684,-2042983429.8272495,-576398330.1926556,-1095525004.6932533,125888639.39829974,5061541733.284877,-1706801.8632240214
1826-12-31,-1471058080.465791,-2043246018.845179,-576439277.7396839,-1095592108.8356817,125870703.10574943,5062138669.07579,-1667022.9775754567
1827-12-31,-1471303155.1749854,-2043505225.5525022,-576479618.5937971,-1095658187.8235815,125852901.99260193,5062734767.146835,-1634785.1433697182
1828-12-31,-1471546057.1955848,-2043762090.1777804,-576519482.0297633,-1095723472.2564924,125835179.76559098,5063332007.867785,-1609524.962638297
1829-12-31,-1471786998.0360932,-2044016682.109987,-576558910.4088968,-1095788075.0769234,125817530.04191245,5063926560.092016,-1587267.9082231375
1830-12-31,-1504565293.260055,-2062557913.0529249,-576596711.6577857,-1102444741.3100562,125800964.088951,5253496662.405944,-132637140.23227556
1831-12-31,-1526711168.2983613,-2073138783.4201233,-576632767.2869818,-1108305115.0276809,125785997.63727987,5253973098.628538,-94621839.48635082
1832-12-31,-1541179134.8661387,-2079472256.438737,-576667786.831768,-1113658130.0335143,125771691.86791891,5254451020.91236,-68994577.48848075
1833-12-31,-1550752968.2897954,-2083378429.518608,-576702064.8158467,-1118287410.5812685,125757765.8980854,5254927889.211833,-51380684.741939515
1834-12-31,-1557269325.500216,-2085843720.4938076,-576735731.2469449,-1122144315.402611,125744076.1832131,5255404590.344731,-39019477.46311218
1835-12-31,-1561884276.8064108,-2087450165.6395693,-576768891.0584531,-1125289653.7565699,125730542.54244205,5255881359.742492,-30115447.968126986
1836-12-31,-1565277851.3716028,-2088545151.0100222,-576801632.8381783,-1127825333.2824938,125717102.23671183,5256359342.92849,-23545312.097470693
1837-12-31,-1567836213.797347,-2089330856.5360746,-576834036.015706,-1129858135.2633097,125703748.2275868,5256836390.571173,-18616264.560524836
1838-12-31,-1569812665.7131824,-2089921335.785637,-576866099.9147445,-1131484799.669893,125690457.68746828,5257313088.258699,-14867760.014969317
1839-12-31,-1571368480.2167487,-2090387687.9720707,-576897759.6910373,-1132787494.0944002,125677207.13336477,5257789912.0718,-11984411.828421077
1840-12-31,-1572639590.6787345,-2090800885.8141007,-576931748.6419675,-1133838625.0354433,125662099.62578845,5258420864.022169,-9838353.894482197
1841-12-31,-1573700188.574749,-2091187522.0636759,-576968714.6380258,-1134691756.4122894,125643843.34556042,5259146678.706954,-8214369.396474943
1842-12-31,-1574598752.4393282,-2091550780.0195708,-577007209.5705421,-1135387565.6308627,125624247.4679929,5259871086.596267,-6929386.2045306815
1843-12-31,-1575371251.0556993,-2091896028.4074686,-577046739.2993287,-1135957954.6393116,125603999.94183919,5260594086.556076,-5907503.080376244
1844-12-31,-1576045362.4684706,-2092228758.247067,-577087116.7320701,-1136429146.0687256,125583286.59647049,5261317722.916466,-5095960.271786465
1845-12-31,-1576641003.462471,-2092551589.0662324,-577128093.5813653,-1136821340.986424,125562349.26501325,5262037634.280308,-4445189.986275633
1846-12-31,-1577174363.984799,-2092866980.6701727,-577169570.0222247,-1137150624.0341897,125541284.94765937,5262756029.341212,-3923667.024804957
1847-12-31,-1577658313.2747445,-2093177207.787435,-577211447.9531877,-1137429841.6447246,125520090.85089263,5263472838.528262,-3505502.061565644
1848-12-31,-1578102896.0009637,-2093483747.306693,-577253771.6821663,-1137669064.0280712,125498797.92966115,5264190346.238403,-3169867.370070591
