,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-681151604.6310126,-936878754.6173524,-530303368.74327034,-1013598955.8460625,45951129.202117205,3119816332.8416123,-3783341.9401665526
1801-12-31,-682023986.310817,-937690719.1260262,-530219978.59127843,-1013504362.1911504,45917333.580812186,3120065418.3499336,-2444753.138147722
1802-12-31,-682305902.512925,-938074169.4053768,-530161899.4298277,-1013443408.0159783,45895591.02483037,3120313409.572534,-2175541.6901453687
1803-12-31,-682518935.2863346,-938337672.1557769,-530119949.8774192,-1013413221.9609911,45878270.13292432,3120560300.233342,-2011590.031937411
1804-12-31,-682684023.8096099,-938542113.485735,-530090006.5454592,-1013402454.8258573,45862812.03076261,3120807502.077628,-1908229.2488029897
1805-12-31,-682837822.189346,-938711015.2541894,-530069391.0114926,-1013403785.1484033,45848177.730914265,3121052058.8278255,-1841615.5925115435
1806-12-31,-682978768.2516859,-938853933.7484298,-530056176.8679688,-1013412816.3028718,45833856.08203721,3121295675.475268,-1786500.5756172799
1807-12-31,-683114861.9948467,-938984144.067407,-530049339.71266264,-1013427104.2684283,45819661.63393149,3121538181.1203346,-1764073.2700866978
1808-12-31,-683238162.1719232,-939100934.11967,-530047796.5149884,-1013444934.7916415,45805435.338018686,3121781007.0754633,-1739018.6860119405
1809-12-31,-683355344.0140549,-939208123.9661782,-530050695.04556453,-1013465164.727986,45791162.30726135,3122021162.9433193,-1719042.7069164836
1810-12-31,-683467734.9646221,-939310628.3465897,-530058531.9808062,-1013489715.6203855,45775887.61692959,3122324756.572769,-1737740.383717339
1811-12-31,-683600557.944065,-939428464.3443104,-530073932.50616986,-1013525495.4849017,45757460.790733755,3122815909.999267,-1911826.469422434
1812-12-31,-683744380.2905564,-939552096.5883967,-530094829.4203704,-1013568414.2627077,45737352.92364454,3123308646.632761,-2054808.0941288816
1813-12-31,-683889906.6241823,-939680312.8813679,-530120237.7525924,-1013616673.2841276,45716140.9826754,3123799372.5108175,-2181642.547609207
1814-12-31,-684039365.1551564,-939811664.26896,-530149521.65163255,-1013669307.9480484,45694103.46962935,3124289745.3826966,-2293783.664350282
1815-12-31,-684190689.0430783,-939943953.4894025,-530182109.8415414,-1013725352.5267876,45671447.129389286,3124779830.5110636,-2383385.6352561223
1816-12-31,-684344314.9839768,-940077521.9651929,-530217629.79944813,-1013784305.3247064,45648260.228461295,3125271485.526767,-2464046.0588071747
1817-12-31,-684502316.7433184,-940214899.4977682,-530255744.828221,-1013845636.7352154,45624708.28275815,3125761151.983191,-2544620.4582366357
