,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-969013231.2372583,-1335934934.7710986,-611477343.2185888,-1191538974.5696068,116124507.34078148,3989740422.5115285,2083414.4790622115
1801-12-31,-969259042.8227417,-1336229907.3012238,-611317387.2147217,-1191298697.7251384,116127979.55677348,3989862157.6000934,2108450.4778667134
1802-12-31,-969335306.3239892,-1336302997.9998784,-611202705.9273659,-1191140493.1070669,116134665.25356421,3989983448.0975494,1858421.2863655402
1803-12-31,-969366882.8999231,-1336317292.1251762,-611116362.6540987,-1191032328.1313605,116140119.36986011,3990104501.5923624,1581404.8631298845
1804-12-31,-969382059.6018119,-1336310486.8660364,-611049613.6588486,-1190956623.5886865,116143730.75231642,3990225648.778531,1322603.2379832172
1805-12-31,-969391321.8022422,-1336297813.817201,-610997319.773733,-1190902836.530992,116145637.55535713,3990345901.8973484,1089497.3634162715
1806-12-31,-969400053.1607645,-1336284780.4752047,-610956138.4558746,-1190864792.890964,116146095.35304865,3990465813.087357,886562.3089940369
1807-12-31,-969410511.5093775,-1336274472.2275884,-610923722.9555304,-1190838209.3336341,116145379.88743776,3990585292.780552,709874.1885763804
1808-12-31,-969423851.3799276,-1336268182.715355,-610898350.1668423,-1190820157.999399,116143716.07678074,3990704993.2304516,556336.051136935
1809-12-31,-969440414.9761819,-1336266188.8732944,-610878717.7388991,-1190808514.3642972,116141311.67662409,3990823614.754129,424221.10906622413
1810-12-31,-969462983.3870842,-1336271269.8369918,-610864358.1298547,-1190802926.8445387,116137913.2734724,3990967912.3980756,291961.6958727294
1811-12-31,-969497921.0397825,-1336289516.2972505,-610855739.442705,-1190805120.0940921,116132821.6033704,3991181942.220911,131569.60361683954
1812-12-31,-969541816.7692181,-1336316859.8679216,-610851464.6671293,-1190812375.3881369,116126792.40599415,3991396622.685169,-1290.8822175639216
1813-12-31,-969592663.2989342,-1336351146.1211383,-610850753.9628673,-1190823322.8251898,116120147.37171564,3991610597.257758,-111757.83813361611
1814-12-31,-969649128.3327758,-1336391045.9152613,-610852978.8208652,-1190837087.7794716,116113056.6023379,3991824267.0715804,-204633.6765333668
1815-12-31,-969710200.6548458,-1336435595.417553,-610857705.015982,-1190853062.2561264,116105629.9510119,3992038012.9407306,-283497.0432088224
1816-12-31,-969775146.8668402,-1336484112.6176193,-610864579.4013833,-1190870775.2483833,116097932.59855595,3992252224.2165155,-351051.5320330905
1817-12-31,-969842489.9937649,-1336536417.4286346,-610873209.6997523,-1190889595.9398322,116089893.15326962,3992465734.0928054,-406829.8643316569
1818-12-31,-969912670.0056424,-1336591085.4662461,-610883486.0425478,-1190909791.8238556,116081756.75720522,3992679145.4006157,-455907.5040950925
1819-12-31,-969985133.3636007,-1336647980.514628,-610895094.4476311,-1190930821.569879,116073536.9565686,3992892383.9155464,-498270.0332844738
1820-12-31,-970055075.3801022,-1336703817.035804,-610907336.5340718,-1190951140.5844772,116065576.0789532,3993078556.319961,-507740.03226289235
1821-12-31,-970112418.2726946,-1336745565.8404074,-610917463.9833654,-1190964420.934402,116059691.96573544,3993134139.5609603,-443998.1705302702
1822-12-31,-970160712.8769916,-1336780048.9665825,-610926731.3232574,-1190974012.1300008,116054638.73474121,3993189067.1431007,-391968.85506959166
1823-12-31,-970202721.1980562,-1336809751.173615,-610935507.1020844,-1190981325.2618113,116050039.76645881,3993243068.8427825,-353817.1903505257
1824-12-31,-970240127.6532487,-1336836171.7276058,-610944018.5148963,-1190987029.116119,116045729.09021208,3993296641.5084953,-325318.4326722382
