,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-2562899394.7408667,-3127739532.3843565,-966162748.5477355,-1599958605.4385507,-241504790.29117742,8549487564.481241,-50033264.70922735
1801-12-31,-2569838412.0742693,-3134963731.962314,-968281370.1293166,-1602856600.5895464,-242166080.03940928,8549648589.414372,-28473805.204084627
1802-12-31,-2570852878.0737314,-3136425183.4782095,-968780663.1041437,-1604169286.5656443,-242250543.63011968,8549809315.317011,-26436211.308828965
1803-12-31,-2571141251.1870584,-3137216895.513402,-969063271.5834074,-1605050555.8255532,-242274899.9440361,8549969312.637953,-24616261.73043388
1804-12-31,-2571315643.8493342,-3137887419.8118544,-969292283.759542,-1605707663.1621544,-242288585.96474862,8550129659.557018,-23100017.744417593
1805-12-31,-2571455903.080125,-3138507998.358427,-969499972.2672852,-1606227152.4444046,-242299481.87873596,8550289248.162875,-21786873.699251235
1806-12-31,-2571589343.1997547,-3139097326.599149,-969694036.7594602,-1606659806.2589843,-242309496.09778386,8550447903.785796,-20615756.424090046
1807-12-31,-2571711141.247714,-3139655908.757466,-969876173.5814357,-1607030677.1390545,-242319137.55278382,8550606099.801397,-19552193.303959128
1808-12-31,-2571829849.168722,-3140193098.313558,-970047825.2633153,-1607359349.4709926,-242328598.0609912,8550764707.841407,-18567396.36656599
1809-12-31,-2571944082.606348,-3140706159.835454,-970209462.3615105,-1607656425.511276,-242337891.54481766,8550922050.920177,-17650086.858331937
1810-12-31,-2572063165.956851,-3141206807.937645,-970363970.1780525,-1607932085.793989,-242348461.79454663,8551113366.844483,-16795294.69922519
1811-12-31,-2572206339.1015077,-3141711010.2882195,-970516114.5692105,-1608197578.5834832,-242362522.57184732,8551399808.670537,-16004342.405007996
1812-12-31,-2572355064.4922957,-3142201525.265632,-970662013.3837489,-1608451874.1385975,-242377044.29247653,8551686834.837121,-15255706.83953041
1813-12-31,-2572490834.5422106,-3142665560.7768326,-970799567.2126083,-1608691779.9047587,-242391387.20706293,8551973094.908986,-14543471.32763222
1814-12-31,-2572644280.381132,-3143125937.62945,-970932578.3723288,-1608926728.1529796,-242406032.68431875,8552259184.464524,-13870076.895393666
1815-12-31,-2572782241.0394425,-3143560436.1664824,-971058092.9391491,-1609148881.526889,-242420433.8898428,8552544811.961426,-13229617.054286983
1816-12-31,-2572924787.107358,-3143982104.928806,-971178297.4682513,-1609364108.5751336,-242435038.26796946,8552831970.117936,-12620851.68868231
1817-12-31,-2573063996.306851,-3144387918.9184337,-971293070.7671382,-1609570879.3517556,-242449547.77372727,8553117704.528505,-12040145.418162327
1818-12-31,-2573201794.350821,-3144780552.786586,-971402887.4117407,-1609770144.5102153,-242464061.49938133,8553403499.056029,-11487372.193404924
1819-12-31,-2573338165.1292706,-3145158506.389759,-971508159.2672557,-1609962326.178358,-242478592.26263922,8553689104.940614,-10961923.268190937
1820-12-31,-2573459940.8869324,-3145511549.6181803,-971606414.1749514,-1610144249.9432914,-242491627.0812542,8553938262.073382,-10458328.584772574
1821-12-31,-2573526747.5894547,-3145798997.3389735,-971689629.15166,-1610302106.480134,-242498844.5196978,8554010277.36755,-9956080.019621437
1822-12-31,-2573585747.128604,-3146067908.559992,-971766912.9813682,-1610447802.9966023,-242505402.6535673,8554081232.910815,-9482605.806811092
1823-12-31,-2573641880.637347,-3146323925.270248,-971840013.551981,-1610584317.9982092,-242511819.85220537,8554150774.844643,-9034496.345102064
1824-12-31,-2573696427.095009,-3146568525.2738066,-971909528.7875729,-1610713254.2883372,-242518177.96961626,8554219925.643437,-8609278.660509989
1825-12-31,-2573748855.863921,-3146801922.427484,-971975655.0383803,-1610835317.8077354,-242524457.2557498,8554286779.806604,-8205163.516402758
1826-12-31,-2573799876.274772,-3147025084.0655394,-972038675.4220446,-1610951293.4411397,-242530739.6538831,8554353029.449775,-7820754.736666153
1827-12-31,-2573849489.0373335,-3147238252.1172543,-972098784.9869933,-1611061664.5482433,-242536949.48069212,8554417818.635489,-7454326.8498347895
1828-12-31,-2573891595.4788404,-3147435668.8068466,-972155186.1345971,-1611165273.8947365,-242543113.81753185,8554482106.98415,-7104031.331186672
1829-12-31,-2573936751.9110055,-3147629024.0369797,-972209789.4007767,-1611264946.4008138,-242549202.77683973,8554543690.199281,-6771392.08576816
1830-12-31,-2862539637.3419323,-3288360544.3411016,-972575567.1205155,-1780243949.5856159,-242647638.0730829,9385422611.828882,-131557248.14922944
1831-12-31,-2908557203.202345,-3310992859.7113137,-972823243.3344666,-1851068341.81751,-242699795.08634877,9385556747.052197,-82637505.96145606
1832-12-31,-2916785400.0198483,-3315323913.3516436,-972955508.8312678,-1885066214.9421604,-242722455.14533028,9385691689.805103,-49346110.57259765
1833-12-31,-2918788367.7016726,-3316612991.608711,-973042122.4089427,-1901220267.9662123,-242735058.893473,9385826468.781164,-32242688.333724245
1834-12-31,-2919433989.0875316,-3317269932.4037166,-973113672.1889659,-1908342357.645671,-242744213.09797776,9385960999.74242,-24410460.410098877
1835-12-31,-2919748627.75544,-3317788305.761921,-973182018.9470276,-1911616520.4652917,-242752852.84481663,9386096291.044916,-20539083.196434982
1836-12-31,-2919939694.36768,-3318242806.5689,-973248290.8787547,-1913299740.3521047,-242760827.64896208,9386231813.744547,-18336453.58546521
