,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-658749283.4744359,-980360612.0135667,-770925774.0088451,-1432651280.9835396,140591506.31151682,3695721263.7741823,6309300.957710886
1801-12-31,-658980750.3702245,-980597107.5258938,-770623454.3389221,-1432123272.5386534,140582068.3397738,3696064746.0396843,5637970.0936324885
1802-12-31,-659072841.3533719,-980618581.8283165,-770405079.1939993,-1431779233.4514694,140584361.132032,3696407987.0769525,4844188.060370543
1803-12-31,-659122404.0047902,-980584972.0235401,-770240438.2832801,-1431544763.1869192,140586659.20331502,3696751139.0552726,4117828.9152454617
1804-12-31,-659154775.5812054,-980535376.5349383,-770113946.5416269,-1431381657.0667737,140586563.46924692,3697095086.582481,3469083.529443433
1805-12-31,-659182250.3021982,-980483306.1632911,-770015922.2961282,-1431268223.4387407,140583697.50584942,3697437953.848769,2897937.8256623633
1806-12-31,-659210872.3942732,-980435742.0177906,-769939883.6664815,-1431190765.331973,140578250.15967593,3697780654.9110265,2393649.5908251465
1807-12-31,-659244066.4221743,-980396537.1360031,-769881197.7059009,-1431139969.1619694,140570621.42955336,3698123153.4253306,1947374.7889179997
1808-12-31,-659283512.2929996,-980366284.789927,-769836588.0998014,-1431109664.33915,140561123.43642238,3698466543.469247,1552831.1516381213
1809-12-31,-659329935.0688841,-980345862.4251516,-769803448.8572353,-1431095100.2599523,140550127.64265317,3698808804.9121842,1203964.1154118464
1810-12-31,-659386646.4074237,-980337937.6896393,-769780951.3529476,-1431095204.9205115,140537061.4844329,3699194894.019355,861677.4694001642
1811-12-31,-659458627.8785223,-980346679.2190042,-769769173.8602915,-1431110777.4917145,140521002.0120465,3699665296.00842,497102.9644251453
1812-12-31,-659543265.6142602,-980369154.3123181,-769765675.529392,-1431137365.7777934,140503130.14937818,3700136798.8259273,180818.69508223515
1813-12-31,-659639823.962919,-980402831.2889011,-769769176.5884502,-1431172651.8129408,140483927.84162602,3700607197.6939025,-100982.5185425264
1814-12-31,-659746266.826088,-980446854.5408871,-769778484.2208002,-1431214886.0514998,140463743.74650425,3701077296.050989,-345951.6669042802
1815-12-31,-659861446.0871909,-980499980.5099657,-769792789.2477369,-1431262847.2439373,140442777.69417527,3701547425.089098,-562069.0596928941
1816-12-31,-659984396.8302863,-980561265.1116505,-769811471.4395684,-1431315650.1091492,140421157.26011714,3702018753.2845664,-753930.0544413464
1817-12-31,-660114088.6206329,-980629706.0819504,-769833887.2049646,-1431372416.9738266,140399033.04232842,3702488873.381322,-922823.4372674214
1818-12-31,-660249272.214617,-980704421.161745,-769859552.2703617,-1431432561.1772797,140376491.55730897,3702958756.9798465,-1069660.0337853862
1819-12-31,-660390296.9140403,-980784951.0763226,-769888140.5271455,-1431495520.5899758,140353600.09960866,3703428698.560318,-1205472.331180245
1820-12-31,-660532554.0254279,-980867549.1968591,-769918069.8656449,-1431558507.537685,140331299.15693322,3703852637.0789785,-1288621.0086333922
1821-12-31,-660668192.5171793,-980945179.2084213,-769946770.4352821,-1431616159.8831675,140311120.28309426,3704163812.4808645,-1280190.1531841508
1822-12-31,-660799128.3303027,-981020660.8581259,-769975465.1505964,-1431671713.100108,140291896.27429807,3704474562.566676,-1278712.6457484937
1823-12-31,-660927576.4204465,-981095344.679131,-770004481.8463168,-1431725849.097598,140273273.1913445,3704784848.5903053,-1287128.0182896387
1824-12-31,-661053578.7550832,-981169630.740031,-770033894.6017784,-1431779164.550398,140255024.8196363,3705095623.8458376,-1296732.2584972675
1825-12-31,-661177474.1606569,-981243803.4410712,-770063706.5057547,-1431831886.1754787,140237053.40810132,3705405160.52436,-1306802.576981205
1826-12-31,-661300151.4514182,-981318223.5740212,-770093917.1863916,-1431884115.6692603,140219300.80379158,3705714137.3031445,-1319436.9771672932
1827-12-31,-661421619.4688725,-981392902.3995292,-770124503.5660254,-1431936019.405995,140201707.87112507,3706022779.5407095,-1331797.8043831037
1828-12-31,-661542096.701608,-981467980.076779,-770155441.851698,-1431987766.9752831,140184215.17919263,3706331844.490848,-1344506.4947478808
1829-12-31,-661661994.4343803,-981543519.4528604,-770186689.0876523,-1432039257.6500587,140166840.48630264,3706639502.4943256,-1357154.8768657946
1830-12-31,-669266414.8123341,-984510760.9550188,-770217179.6146363,-1439544615.2867696,140150330.27155784,3824580262.4278655,-100157728.81140307
1831-12-31,-676784149.1362784,-986945741.0036905,-770246844.9313273,-1446104659.0901558,140135000.08111793,3824826058.365728,-84003546.56040737
1832-12-31,-683434993.4302869,-988963814.3312197,-770276258.8444642,-1451772448.3481183,140120128.54667982,3825072489.148673,-70011183.9248777
1833-12-31,-689060182.4636968,-990627564.511594,-770305645.806936,-1456511904.5503817,140105414.77004883,3825318252.726152,-58305792.54057878
1834-12-31,-693758031.0835743,-992013682.7131575,-770335193.0944259,-1460422227.8500576,140090659.44586366,3825563891.7124257,-48615731.755296536
1835-12-31,-697668273.5941422,-993171979.5909944,-770365026.0646671,-1463634243.7432492,140075737.9421523,3825809398.680194,-40613698.39980714
1836-12-31,-700930354.7743971,-994150659.4175459,-770395269.9358555,-1466270081.4735692,140060580.61941606,3826055496.5384836,-34013377.989054
1837-12-31,-703666949.3708701,-994982356.9603777,-770425981.8421305,-1468434636.6663861,140045198.2823883,3826300935.0390983,-28537454.54485595
1838-12-31,-705951914.858411,-995697164.164783,-770457210.1576096,-1470213937.914864,140029620.93318674,3826546139.7800193,-23999598.944680072
1839-12-31,-707866633.822958,-996314383.6279833,-770488961.7015356,-1471678320.8146434,140013897.69343042,3826791090.179494,-20240227.56977107
1840-12-31,-709479678.0665982,-996851194.3473692,-770523249.6001006,-1472889523.4006984,139996566.47334236,3827116005.5109396,-17182843.41665297
1841-12-31,-710843201.8573625,-997322431.9766483,-770560519.3880347,-1473894491.1203432,139976792.15010685,3827490516.410084,-14686699.56011137
1842-12-31,-712002263.3815848,-997738145.9365306,-770599607.8541868,-1474730379.567678,139955901.72450253,3827864062.265043,-12610243.642275883
1843-12-31,-712992270.0883691,-998106828.7913435,-770640061.0308636,-1475427827.2948759,139934429.25762904,3828236629.356268,-10881691.107106764
1844-12-31,-713841916.1159632,-998435997.0267179,-770681642.3867679,-1476012078.8617663,139912599.7102318,3828609501.838862,-9442613.859672487
1845-12-31,-714573796.3744905,-998731415.5287359,-770724130.5245734,-1476503682.2257497,139890589.29213268,3828980038.4421377,-8239811.045918053
1846-12-31,-715209664.4506832,-998998846.0201787,-770767332.8910853,-1476919237.1328833,139868523.87083507,3829349579.793666,-7237711.781815765
1847-12-31,-715764660.3974936,-999242434.9607887,-770811119.8724126,-1477272437.211133,139846457.97315222,3829718148.479594,-6398783.087384556
1848-12-31,-716250670.1106074,-999465508.812613,-770855351.2710991,-1477574472.483434,139824425.30860084,3830086773.727465,-5692364.106509761
1849-12-31,-716680745.5549524,-999671415.9603045,-770899879.3581985,-1477834492.072463,139802499.54631132,3830452885.075027,-5103701.1999566415
1850-12-31,-717064211.2841964,-999865541.5453489,-770945763.7005455,-1478063288.879432,139779763.66009825,3830865654.0404615,-4639304.881069831
1851-12-31,-717423351.0826648,-1000057753.995158,-770995168.7379841,-1478269647.3336902,139754835.7812568,3831383598.4023986,-4337098.1567551885
1852-12-31,-717754769.2659833,-1000244167.8843329,-771046486.8978438,-1478456960.659036,139728845.77160534,3831902006.461607,-4071544.5832802467
1853-12-31,-718067447.6892805,-1000426885.4722884,-771099182.7583188,-1478626820.3099968,139702293.4591748,3832417788.6147604,-3851078.9826086354
1854-12-31,-727356817.1178582,-1011631459.6407204,-774638919.2749895,-1478807961.2310095,135181291.39935446,4009371480.8685765,-150476761.82532007
1855-12-31,-735939336.8633873,-1020757039.6844416,-777648058.9149964,-1479030660.5620754,132762956.36096984,4009884660.3747616,-127883675.01791434
1856-12-31,-743416122.1568608,-1028334229.6882563,-780320282.9636297,-1479306577.6759474,131133845.9151415,4010398216.9150333,-108976834.6445395
1857-12-31,-749803771.6281594,-1034653995.6178901,-782639041.1275895,-1479629073.7916298,129956058.47689214,4010908804.812165,-93128647.0563156
1858-12-31,-755230841.1710739,-1039914559.776888,-784638036.5944407,-1479982513.273406,129070794.72892016,4011417750.4166727,-79860573.57350224
1859-12-31,-759858277.0038899,-1044311734.5810795,-786366966.393271,-1480349987.4821362,128387413.35586467,4011925220.0116153,-68692648.13794985
1860-12-31,-763793036.7705351,-1048015059.6214865,-787868111.30833,-1480715641.6278646,127849320.1303544,4012398831.3739195,-59224481.402353525
1861-12-31,-767148182.8423114,-1051122010.4806116,-789179191.2090052,-1481067109.8760505,127419523.65599906,4012813235.188132,-51158452.50693562
1862-12-31,-770028921.5889571,-1053746981.5520967,-790331529.1446493,-1481399623.379497,127071099.39034781,4013225682.084207,-44316342.061796576
1863-12-31,-772492099.3806896,-1055966116.1500964,-791349006.5472705,-1481710224.5299003,126785245.59049687,4013636071.406463,-38483736.52141783
