,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-3340143410.0947704,-5038334399.100318,-545055855.916318,-1048851512.3905491,-1842555.4099860787,9996890085.697521,-22521949.026126355
1801-12-31,-3342764598.24142,-5041792785.757847,-545150166.8813165,-1049055089.7196088,-1881887.5653673857,9997420713.59249,-16656408.979966719
1802-12-31,-3344131672.847581,-5043766477.898702,-545219134.581257,-1049227953.5872409,-1906284.1323249787,9997950421.057474,-13602696.732012864
1803-12-31,-3345029648.3061666,-5045201968.435223,-545271530.9591737,-1049378200.7561073,-1923149.5865875632,9998479934.940006,-11593446.496785104
1804-12-31,-3345683387.4991703,-5046349344.419266,-545313166.7503412,-1049509785.7548022,-1935808.1487784237,9999010548.225,-10146913.45699441
1805-12-31,-3346196821.408063,-5047320073.519994,-545347475.1052991,-1049625527.0719569,-1945963.010058999,9999539740.687544,-9039376.533421462
1806-12-31,-3346624467.3768864,-5048172366.924893,-545376601.0960251,-1049727929.3355329,-1954568.6024055183,10000068293.962551,-8153986.258615662
1807-12-31,-3346997018.7346497,-5048939713.85754,-545401996.011249,-1049818982.3721644,-1962164.4600914717,10000596058.297537,-7422850.058423371
1808-12-31,-3347332913.3266726,-5049643747.557528,-545424577.4549205,-1049900489.459528,-1969133.536350131,10001124932.992489,-6805038.011346867
1809-12-31,-3347642931.88636,-5050297479.218394,-545444982.5185101,-1049973838.4265852,-1975702.996337682,10001652237.112541,-6272006.670349995
1810-12-31,-3347949242.697489,-5050931637.869237,-545464308.3182786,-1050041750.9552953,-1982384.3098952323,10002252123.712416,-5840524.557132697
1811-12-31,-3348277427.311729,-5051580766.180688,-545483712.165615,-1050107642.7811837,-1989883.0775994807,10002999611.489956,-5520773.221617958
1812-12-31,-3348609213.2633905,-5052219525.20778,-545502773.13892,-1050170768.172689,-1997612.6644391716,10003748830.552536,-5211864.69564682
1813-12-31,-3348939872.6210976,-5052842974.871094,-545521370.8236884,-1050231180.9833138,-2005358.1650176793,10004496453.472557,-4920583.880957992
1814-12-31,-3349268193.6310625,-5053450315.508468,-545539512.2273091,-1050289192.3630682,-2013118.333537966,10005243630.7875,-4650127.852039563
1815-12-31,-3349593668.9823165,-5054042255.885684,-545557272.7571331,-1050345015.6028562,-2020899.1603982747,10005990395.369978,-4399915.494666941
1816-12-31,-3349917810.077984,-5054620679.249423,-545574673.1022478,-1050399084.2665896,-2028691.9779006243,10006739552.339993,-4170013.2127996967
1817-12-31,-3350239356.566081,-5055185149.132124,-545591744.5966576,-1050451508.4856979,-2036479.6636899412,10007486525.11502,-3954180.505957424
1818-12-31,-3350558053.9176464,-5055737416.393591,-545608522.4629961,-1050502519.1876501,-2044281.8018844426,10008233497.89007,-3756091.9932952006
1819-12-31,-3350874357.220706,-5056278040.358281,-545625081.2096503,-1050552328.4317068,-2052061.6437416226,10008980036.017452,-3573152.475762831
1820-12-31,-3351172765.473628,-5056786504.027598,-545640810.6614753,-1050599629.7050935,-2059430.9178909063,10009651098.884968,-3368047.245601319
1821-12-31,-3351419924.4740257,-5057219454.770842,-545654502.8613745,-1050640428.6336297,-2065482.7590773404,10010107150.035036,-3085479.8075706353
1822-12-31,-3351646433.777093,-5057619517.250179,-545667096.9947666,-1050677318.3790039,-2071066.9649231434,10010562288.060043,-2860546.6356987194
1823-12-31,-3351861008.123456,-5057998596.5115385,-545678987.6554664,-1050711286.8248147,-2076388.2457745373,10011016253.632532,-2670999.1613077824
1824-12-31,-3352068355.0674977,-5058362890.4247,-545690380.285023,-1050743006.4195876,-2081593.3986224383,10011471362.437548,-2507292.264308562
1825-12-31,-3352270041.4513316,-5058714599.060131,-545701439.3513308,-1050772865.334567,-2086695.8091174513,10011923636.902508,-2361174.889183824
1826-12-31,-3352467781.156825,-5059056191.322991,-545712205.0861806,-1050801175.4813292,-2091739.1034357697,10012375162.604982,-2230168.7929109866
1827-12-31,-3352662156.1125035,-5059389274.139381,-545722746.8378001,-1050828217.1857829,-2096726.597655788,10012825435.499968,-2111321.4306291244
1828-12-31,-3352854453.8483486,-5059715077.302531,-545733110.8102034,-1050854152.2357345,-2101695.581220478,10013276614.214972,-2003809.6681357776
