,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-1164341101.2552247,-1782622576.1645668,-750458447.5323082,-1270552817.5817559,97587698.28407362,4867096218.781304,3262257.133949142
1801-12-31,-1164772383.055736,-1782827824.5538971,-750303179.7707009,-1270217228.3105056,97558865.05934164,4868135825.999981,2407334.116316705
1802-12-31,-1165070721.7022119,-1782943271.3313048,-750208873.750782,-1270048058.5960631,97540875.07811767,4869175157.43885,1543620.57797194
1803-12-31,-1165335291.3300424,-1783075496.3921309,-750156345.606807,-1269973634.818966,97520967.57100412,4870214367.097164,801690.3645278607
1804-12-31,-1165599619.6389604,-1783239281.527164,-750133471.5670419,-1269959545.8324025,97497608.43714574,4871256085.905689,180676.03743527515
1805-12-31,-1165874957.9368207,-1783434160.2439215,-750132131.9088436,-1269986825.8999438,97471049.96592924,4872295139.561009,-330824.0138108486
1806-12-31,-1166165181.5522594,-1783656849.3426974,-750146958.4878131,-1270043874.8783016,97441854.15796965,4873333682.06791,-751640.7707916447
1807-12-31,-1166470687.530688,-1783903465.6424215,-750174179.2821896,-1270123008.5516648,97410574.8587566,4874372145.004387,-1097346.5076802475
1808-12-31,-1166790663.7108455,-1784170683.777453,-750211138.3748498,-1270218974.8462358,97377628.77020249,4875413094.457635,-1382720.2140285086
1809-12-31,-1167122939.633858,-1784454524.3556523,-750255697.4509807,-1270327726.4945502,97343445.39420006,4876451140.85642,-1615074.2447850222
1810-12-31,-1167482866.4682498,-1784769739.0378978,-750309324.1770056,-1270452531.3069365,97306200.69073954,4877613935.315472,-1884415.1987439077
1811-12-31,-1167890752.625514,-1785135721.101359,-750374565.3703899,-1270599119.6040387,97263482.42266986,4878997426.612335,-2235873.0504998323
1812-12-31,-1168328151.9361384,-1785531971.2673554,-750447364.974544,-1270759514.3267455,97218076.811429,4880384385.018805,-2507855.24106891
1813-12-31,-1168785391.6071818,-1785948786.7268267,-750525699.1554248,-1270930052.4545376,97171049.87658778,4881768163.886464,-2719587.924858985
1814-12-31,-1169257082.2073288,-1786380878.43855,-750608441.3421336,-1271108517.12725,97122914.68031144,4883151484.726614,-2888124.845674151
1815-12-31,-1169740055.7951775,-1786824755.3016458,-750694804.7080606,-1271293392.5893435,97074005.94409436,4884534767.57782,-3024101.641354275
1816-12-31,-1170231725.6288142,-1787278233.679694,-750784103.0024967,-1271483449.0401852,97024440.2564866,4885921451.048232,-3135608.7056587143
1817-12-31,-1170730191.8827157,-1787738973.27234,-750875602.9669865,-1271677377.4094641,96974441.05041075,4887304773.221884,-3223325.295402081
1818-12-31,-1171233752.1877627,-1788205281.131217,-750969029.0048988,-1271874502.0833845,96924123.93938613,4888687687.470084,-3294269.888464176
1819-12-31,-1171741846.0233133,-1788676048.1671758,-751064077.6170775,-1272074375.1478224,96873594.15209764,4890070512.417613,-3352811.1638559736
1820-12-31,-1172234540.7808712,-1789132759.56838,-751157186.4337674,-1272269801.851594,96824989.6957924,4891323350.850665,-3318606.0611278485
1821-12-31,-1172684296.9533303,-1789546783.0502148,-751243499.5758885,-1272450126.2485805,96781647.85167584,4892311047.292911,-3134611.127605794
1822-12-31,-1173111299.5268087,-1789939718.5969045,-751326710.5228631,-1272623000.9393296,96740544.27106717,4893297975.094732,-3004956.675012599
