,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-573551247.1413442,-1257403076.8678713,-508229569.25334084,-1165627338.5674074,332185671.0289866,3156279170.2767177,16278440.744572362
1801-12-31,-572421902.4789417,-1256148318.3975463,-507911951.78273636,-1165136405.3283753,332262758.9419025,3156193241.2725897,13116858.336693946
1802-12-31,-571579385.0278976,-1255233620.1337483,-507684120.28166443,-1164786000.8227344,332310150.4602537,3156105362.7787423,10830087.201237397
1803-12-31,-570939896.6681235,-1254517121.9105601,-507506902.48701096,-1164515320.9247246,332341541.3234346,3156015544.9183927,9090678.411074098
1804-12-31,-570442694.2702016,-1253932493.228475,-507363761.4063498,-1164297946.8974605,332363178.9928408,3155924956.171953,7721953.382760139
1805-12-31,-570047362.4422377,-1253443002.1835911,-507245540.593221,-1164118777.329797,332378466.3214495,3155830800.86526,6622346.352104438
1806-12-31,-569726938.1736959,-1253026309.2535605,-507146466.7748464,-1163968163.1618195,332389395.07060206,3155735079.8709617,5722927.870363941
1807-12-31,-569462472.3050728,-1252666759.1769814,-507062607.5493068,-1163839496.3646438,332397219.42310643,3155637421.309114,4979182.614328832
1808-12-31,-569240638.8122896,-1252353526.7883914,-506991117.5362364,-1163727895.2821505,332402773.62181133,3155538970.847437,4355457.52206544
1809-12-31,-569051540.9565508,-1252077811.205462,-506929838.7668469,-1163629685.4465246,332406661.4127518,3155436996.466523,3830656.5923022353
1810-12-31,-568896375.6296599,-1251842649.084509,-506878014.9055959,-1163544200.7287982,332408611.95689505,3155388044.2898664,3352588.4400377017
1811-12-31,-568800793.806298,-1251677584.5718517,-506837986.47450787,-1163478274.521778,332406705.44173115,3155574608.331612,2800314.352218266
1812-12-31,-568740363.4799247,-1251553127.1442192,-506806750.22160596,-1163424899.7440438,332402861.41296536,3155762271.4341598,2348495.4875792335
1813-12-31,-568704544.7497392,-1251458299.7657778,-506782692.1761769,-1163380749.4107475,332397801.2994826,3155947937.7954516,1970295.1401059558
1814-12-31,-568687286.4527975,-1251387126.869775,-506764674.6187063,-1163343769.6106992,332391890.2638905,3156133106.307198,1648775.3884671961
1815-12-31,-568684365.7950974,-1251335457.2652926,-506751813.2987526,-1163312497.021966,332385356.1223196,3156317827.8983026,1372960.4369601347
1816-12-31,-568692942.570709,-1251300431.2117643,-506743419.9732583,-1163285853.1239853,332378334.0836324,3156503621.3641753,1133754.7308689877
1817-12-31,-568710343.4438415,-1251279184.2183242,-506738876.13524264,-1163262880.209109,332370962.2713253,3156687419.2318573,926975.3927258562
1818-12-31,-568734918.2554146,-1251269862.0365417,-506737687.77265424,-1163242932.7533205,332363317.33057487,3156870730.2265606,746403.0020373801
1819-12-31,-568765308.7185218,-1251270884.1721408,-506739441.6371344,-1163225463.97448,332355456.21238333,3157053560.867738,588076.4399653433
1820-12-31,-568791962.1764485,-1251271451.4690473,-506742858.03246665,-1163207923.335771,332348125.633294,3157179122.248052,483212.67705076
1821-12-31,-568733121.3644602,-1251186082.9850013,-506738875.1615644,-1163164037.7462044,332346485.1740717,3156752049.6884117,719159.209345648
