,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-2310788615.637094,-3275039498.2944617,-448755764.681333,-809900942.6722693,-6846795.796292365,6856499469.656575,-4941236.666538523
1801-12-31,-2311810372.168792,-3276625727.870732,-448850025.76714844,-810083794.9174719,-6870251.988779083,6856907467.731631,-2510196.156364075
1802-12-31,-2312203033.0054345,-3277325180.8976564,-448900489.2533565,-810197568.1497998,-6882989.1803970635,6857315382.160133,-1720343.6604079385
1803-12-31,-2312465106.2263813,-3277813244.811141,-448931770.1032621,-810278723.7410878,-6892606.4611177,6857723332.565299,-1277664.7275078946
1804-12-31,-2312681172.0426903,-3278207813.7484193,-448954369.68241286,-810341985.406373,-6901079.152032614,6858132211.14048,-995693.3083675653
1805-12-31,-2312876558.9470506,-3278547919.0348907,-448972668.5351786,-810394572.1130383,-6909073.122473687,6858539836.277059,-799576.1596649456
1806-12-31,-2313060995.7329297,-3278852484.3141155,-448988649.57397604,-810440276.8246241,-6916830.281544626,6858947722.486607,-656037.6917857513
1807-12-31,-2313238973.81024,-3279131648.9359117,-449003334.9168284,-810481533.4511529,-6924481.484562352,6859355435.079399,-548161.1305503628
1808-12-31,-2313413138.3687315,-3279392432.0084925,-449017224.9428813,-810519882.7451419,-6932102.225316688,6859764047.36033,-465916.6677540443
1809-12-31,-2313583947.202821,-3279637852.959113,-449030566.28158283,-810556296.7994621,-6939644.945419073,6860171623.553096,-400981.4993390616
1810-12-31,-2313767418.9466934,-3279890560.257724,-449044457.1349637,-810593185.3697789,-6947844.1392585635,6860626898.029214,-360680.4222088381
1811-12-31,-2313978305.2617292,-3280170771.031028,-449060002.9492248,-810633293.4778762,-6957337.706559867,6861164497.061991,-344460.641948142
1812-12-31,-2314193735.3860207,-3280449368.5179625,-449075966.715378,-810674357.4331381,-6967032.014240071,6861703305.481706,-322311.85683594353
1813-12-31,-2314410018.428174,-3280723748.261385,-449092029.3403206,-810715734.0126324,-6976773.83609736,6862240920.964973,-301882.7539636151
1814-12-31,-2314626331.7246647,-3280994377.3957243,-449108071.5952934,-810757220.9968853,-6986535.424475953,6862778019.448168,-284587.2204375174
1815-12-31,-2314840878.502538,-3281259731.062873,-449123959.3598632,-810798441.1480831,-6996200.132127687,6863315532.777878,-268160.23186252173
