,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-713464751.1858811,-946024062.6150069,-448490356.1550033,-850647630.2420095,63688941.69174883,2894679147.258365,256003.01026454382
1801-12-31,-713997390.7051129,-946557051.4317905,-448370956.0863327,-850444690.5874776,63670522.02832754,2894906317.21377,799779.246585241
1802-12-31,-714283649.0095897,-946831094.8587487,-448273966.10637164,-850280007.2585468,63660629.55415143,2895132141.0200872,882305.7048663455
1803-12-31,-714496246.7200806,-947022591.7681898,-448193149.8307989,-850146543.5628833,63653932.3684113,2895356612.201488,852310.7880852888
1804-12-31,-714663610.4658835,-947166725.6856859,-448124923.5711693,-850036973.2437813,63648378.16335416,2895581269.040384,769651.0357388225
1805-12-31,-714804540.2723933,-947280808.6646836,-448066942.4757753,-849946053.1149192,63643131.502565324,2895802850.878993,655326.522451391
1806-12-31,-714923421.6400251,-947374711.9564564,-448017581.6429234,-849870079.427352,63637780.4194801,2896023273.3078656,532137.6381077783
1807-12-31,-715029089.4699839,-947454962.5295306,-447975643.32975894,-849806296.8452042,63632128.64759606,2896242359.135976,397251.96857078373
1808-12-31,-715124178.1461154,-947525662.2107103,-447940219.68183225,-849752647.5835056,63626079.233478725,2896461618.004297,260110.287308448
1809-12-31,-715211644.2629135,-947589442.0872684,-447910507.612774,-849707393.5608196,63619605.922713876,2896677788.650521,125614.73887502006
1810-12-31,-715296969.981111,-947652478.3170354,-447886807.5382368,-849671240.2702159,63611966.36866239,2896962810.2185955,-61756.46650746884
1811-12-31,-715393523.40859,-947727614.8901949,-447871045.4690624,-849649079.7583334,63601356.84172858,2897462646.959711,-417834.60889060213
1812-12-31,-715497351.2807834,-947810655.5501084,-447861605.65578824,-849636960.0012056,63588896.82220158,2897964148.9562063,-738617.261074958
1813-12-31,-715607038.5779682,-947900128.8575907,-447857565.74238837,-849632873.5755241,63575067.56910354,2898463433.0360436,-1027838.2939687722
1814-12-31,-715723389.7102168,-947995898.2369862,-447858332.103531,-849635589.9066849,63560160.489356235,2898962269.860807,-1301511.3404361622
1815-12-31,-715844676.34966,-948096787.4817648,-447863397.1817607,-849644150.5758561,63544335.49578689,2899460776.5488524,-1547507.7668080477
1816-12-31,-715970189.5985397,-948202223.8656158,-447872369.651025,-849657850.3752719,63527701.09073244,2899960945.780494,-1772177.9936295135
1817-12-31,-716100957.4227349,-948312486.8914082,-447884858.7635862,-849675957.6679465,63510428.10741401,2900458887.830879,-1984980.6474259496
1818-12-31,-716235632.1550668,-948426624.541537,-447900568.3117595,-849697979.2986436,63492579.808895364,2900956381.944187,-2177438.8909913073
1819-12-31,-716374070.4110899,-948544440.6731975,-447919228.3201541,-849723463.4436772,63474228.93642709,2901453548.020775,-2355295.455032329
1820-12-31,-716511999.2048826,-948661311.0620582,-447939614.2103149,-849749921.3981491,63456203.40822193,2901877569.5144005,-2459516.05319617
1821-12-31,-716624413.7662735,-948753499.6414992,-447956501.70852333,-849762434.0971819,63442169.06007989,2901866261.7209115,-2204959.723021728
1822-12-31,-716719723.5182159,-948830293.074759,-447971704.23477256,-849767325.1171961,63430218.58967206,2901852403.098963,-1991254.9427287318
1823-12-31,-716801816.7570728,-948894771.3157258,-447985867.1983293,-849766871.9551194,63419680.82880789,2901835193.975465,-1804695.439841737
1824-12-31,-716873002.4717941,-948949222.4085557,-447999348.96086824,-849762319.7320307,63410175.30154444,2901816143.038873,-1642673.0538170103
1825-12-31,-716934754.2095059,-948995104.4848987,-448012322.4165988,-849754319.5330456,63401501.03281933,2901791433.1330175,-1497560.1882839436
1826-12-31,-716988412.2279637,-949033762.4275899,-448024941.90482974,-849743449.6278914,63393488.755787864,2901764179.482373,-1368929.1836441753
1827-12-31,-717034959.5125268,-949066186.2860029,-448037304.6865561,-849730080.0003362,63386026.45884457,2901733577.3355007,-1253483.7536792783
1828-12-31,-717075281.7441785,-949093267.3059279,-448049500.20639485,-849714539.1226008,63379016.237632856,2901701115.0392475,-1150440.0429856014
1829-12-31,-717109988.1139183,-949115521.609448,-448061543.1253528,-849696953.821299,63372424.28139749,2901662968.7712817,-1054953.5195874968
1830-12-31,-747119989.5549736,-963788466.2203407,-448072599.2034719,-860254947.3006567,63366872.15436019,3324185187.192652,-367237086.4970834
1831-12-31,-775727738.814913,-976635597.730411,-448086739.0446099,-869410516.3141221,63359572.34347537,3324393657.879332,-316905937.2574157
1832-12-31,-800215622.078274,-987915194.0370793,-448103165.5586897,-878460885.8576558,63351414.856609315,3324603732.7657804,-272397934.66361785
1833-12-31,-819120737.3690586,-995829957.4710517,-448121490.0790673,-887342345.2649915,63342714.525971144,3324813606.187098,-237062549.7561165
1834-12-31,-833323725.8731682,-1001941207.0537977,-448141451.1115673,-895952075.5853536,63333625.51570529,3325023768.149875,-208456903.63475874
1835-12-31,-844567150.2344325,-1006721874.1599474,-448162847.6156965,-904171605.2831035,63324236.882641256,3325234432.7990513,-184479224.47954464
1836-12-31,-853772768.5759162,-1010548248.3240931,-448185526.4994664,-911908968.2246917,63314595.399054706,3325446692.679857,-163961204.24432328
1837-12-31,-861524179.2887455,-1013633596.7131597,-448209335.75407785,-919099103.9675572,63304753.52384864,3325658865.5132093,-146160071.20909652
1838-12-31,-868226435.7325882,-1016191797.8255554,-448234152.6316702,-925715708.6469908,63294740.13773514,3325871153.997113,-130505875.14892432
1839-12-31,-874112416.7184131,-1018336149.386873,-448259880.4952885,-931749791.1194713,63284571.258433014,3326083997.975318,-116648978.68003649
1840-12-31,-879318031.4652355,-1020155354.4706552,-448288167.69879556,-937217606.4122046,63272914.909423634,3326424553.7540565,-104487468.40479037
1841-12-31,-883904573.1127661,-1021669378.6455216,-448312580.5461089,-942120884.1439397,63264171.83084026,3326243171.1582494,-93295710.78445846
1842-12-31,-887977780.161705,-1022932549.7093735,-448334317.8387944,-946501807.1825887,63256940.52902934,3326057398.0161896,-83390227.78176415
1843-12-31,-891612346.3784293,-1023989570.1228589,-448353885.3687594,-950404051.9007753,63250750.75622608,3325865753.1831875,-74597268.88986321
1844-12-31,-894867697.7899384,-1024882621.5188283,-448371646.78655154,-953871814.1738343,63245339.69630486,3325669997.3944163,-66779973.89416393
1845-12-31,-897779786.9405947,-1025640139.0828217,-448387817.98222977,-956947744.5903022,63240597.654578686,3325464782.351659,-59824332.21981563
1846-12-31,-900396072.5056134,-1026293190.4817631,-448402646.112944,-959672200.7149724,63236400.002940506,3325255290.537727,-53613748.05826944
1847-12-31,-902740514.699727,-1026849879.7536964,-448416312.61559474,-962082809.7989,63232675.73708734,3325039830.1602316,-48080689.32604954
1848-12-31,-904842889.3234439,-1027324949.3783065,-448428995.11040306,-964214300.5946133,63229351.98614144,3324820301.907767,-43143236.193593055
1849-12-31,-906732633.8065832,-1027731031.8211669,-448440765.08710253,-966097918.0024406,63226430.42864598,3324591157.6252503,-38731845.40553147
1850-12-31,-908431120.8422782,-1028081906.0631047,-448452782.2950281,-967764264.5419035,63223057.12315035,3324433597.8716593,-34842987.80985641
1851-12-31,-909997351.0074128,-1028411750.3981608,-448469438.1281408,-969250094.1932008,63216069.11166105,3324638316.346623,-31649147.445141915
1852-12-31,-911430161.6702826,-1028715403.6298327,-448489051.5906868,-970572409.0860603,63207170.787365735,3324841529.041219,-28773764.216943003
1853-12-31,-912732464.6817707,-1028994075.5378444,-448510883.9919027,-971748755.9734938,63197041.282719105,3325037367.707444,-26181337.267619472
1854-12-31,-934676025.1601949,-1061430360.3999388,-453486501.1563977,-972797371.5616533,54632020.07153751,3958912424.4552164,-589804104.507201
1855-12-31,-955425692.541362,-1092445031.4194515,-457507112.51961565,-973736635.736564,49535607.34720394,3959101220.4018836,-528267633.88022643
1856-12-31,-974950075.9292386,-1120092508.9407425,-461449668.0209744,-974583889.7337347,45746000.069275394,3959288284.440471,-472830775.75228083
1857-12-31,-992650550.0976491,-1143939945.0740032,-465361141.94161034,-975355249.0328604,42715411.66792238,3959467951.8098655,-423880749.30836606
1858-12-31,-1008506982.9085438,-1164876220.1182446,-469185660.08477,-976064819.3777537,40201292.09304349,3959644510.587617,-380319829.3912179
1859-12-31,-1022605883.1927758,-1183443134.1528332,-472864451.72742474,-976724005.7579297,38073344.32556081,3959817002.946042,-341461248.8414539
1860-12-31,-1035239206.110709,-1200172639.072648,-476364716.1048342,-977339957.9231952,36239630.90370053,3959934261.924029,-306340667.6752965
1861-12-31,-1046692611.7185738,-1215146864.704905,-479673121.85398036,-977915617.9893484,34626655.95954999,3959946631.2153797,-274496863.78300714
1862-12-31,-1057075318.0475295,-1228432475.8015783,-482791608.75563,-978457203.4478302,33204647.337233156,3959955880.075986,-245815904.32787383
1863-12-31,-1066415209.2364577,-1240203307.726727,-485725296.01904064,-978968208.842802,31965443.665253073,3959960735.3440127,-220089582.5950978
1864-12-31,-1074834111.805987,-1250705386.365222,-488481526.75791854,-979450802.5176347,30883142.501888603,3959963205.903078,-196903902.6383432
1865-12-31,-1082506608.7868328,-1260087607.0047708,-491066931.8540833,-979906104.9183578,29944529.02440229,3959958234.6957517,-175914345.24571505
1866-12-31,-1089432314.4814448,-1268393635.3844447,-493489850.6584507,-980334970.3564982,29136104.73564726,3959949912.3163886,-157054718.51127172
1867-12-31,-1095583418.9475887,-1275755066.6815696,-495758591.17554873,-980737873.3788241,28441032.452157557,3959937055.6349125,-140201219.17032474
1868-12-31,-1101059869.7093592,-1282314539.0496922,-497881567.05545366,-981115182.6358794,27853728.940164596,3959921670.5177326,-125098346.5376275
1869-12-31,-1105954639.6159832,-1288090693.0961852,-499865161.6331541,-981467071.8810811,27359065.46902916,3959898514.751166,-111609552.49273576
1870-12-31,-1110314058.2039864,-1293200971.0169544,-501717051.7949709,-981796958.7835114,26941710.051730543,3959972644.469588,-99644935.3998196
1871-12-31,-1114237449.7586222,-1297757154.5680914,-503448610.857337,-982123259.4841143,26582883.447124034,3960579769.12083,-89378715.50388555
1872-12-31,-1117732066.6231737,-1301794390.7335427,-505063326.75437397,-982438381.7072172,26273256.380696148,3961187658.461181,-80237743.28647055
1873-12-31,-1120854424.039763,-1305416053.9669733,-506566390.2987507,-982739762.7426562,26005545.092802137,3961790827.2276387,-72042906.52523825
1874-12-31,-1123642602.3640423,-1308668248.06523,-507963389.5565628,-983026451.5858281,25772794.177920133,3962391827.249697,-64704354.09512285
1875-12-31,-1126118936.0908194,-1311576623.648037,-509259904.28440356,-983298110.9831544,25569035.2067329,3962990686.687694,-58161273.78536249
1876-12-31,-1128318492.4162378,-1314168042.7938232,-510461475.93839484,-983554841.0746447,25389217.30279556,3963589955.041036,-52344169.08118084
1877-12-31,-1130277056.5965643,-1316476842.8787723,-511573512.3057114,-983796774.232893,25229614.21063876,3964183955.43737,-47172063.155389406
1878-12-31,-1132027947.0781722,-1318543556.4924889,-512601333.9471231,-984024383.7909993,25087308.573726535,3964775576.181429,-42556206.90046357
1879-12-31,-1133591730.565791,-1320412787.132919,-513550172.5079683,-984238222.8684404,24959676.4138602,3965364316.066524,-38433802.168645166
1880-12-31,-1134987069.3012662,-1322081620.2389867,-514424876.70574784,-984438226.4065846,24844893.512091488,3965927555.934514,-34745167.73675687
1881-12-31,-1136142378.1774452,-1323505672.7033424,-515221544.7690373,-984590029.7447171,24748542.460094303,3965652340.1986337,-30865469.312346034
1882-12-31,-1137135592.9767559,-1324742465.101462,-515948287.835104,-984708632.2923881,24665710.966391057,3965370260.847206,-27434348.81500217
1883-12-31,-1137988741.0980737,-1325836927.8521748,-516611126.734188,-984800209.9240187,24593922.9340716,3965078929.499403,-24376791.275961585
1884-12-31,-1138720218.6340268,-1326796227.740205,-517215373.8622074,-984868689.085987,24531409.679084837,3964780593.640579,-21659131.03397971
1885-12-31,-1139345248.9652,-1327634340.8832138,-517765763.7527375,-984916668.1031585,24476882.625277728,3964467811.814658,-19236503.234914042
1886-12-31,-1139877793.8298135,-1328365448.2256203,-518266813.8658072,-984946586.3133585,24429217.483009934,3964147253.378561,-17077797.99482758
1887-12-31,-1140329409.0335364,-1329004315.3897817,-518722469.39488465,-984960290.7951661,24387520.490000725,3963816418.9972873,-15149613.733245596
1888-12-31,-1140710729.071378,-1329563506.4392467,-519136636.6934955,-984959463.6387111,24351000.26217994,3963477722.634608,-13422851.644422723
1889-12-31,-1141028591.9058104,-1330052164.6692033,-519512841.7807573,-984945208.6840287,24319097.104114026,3963123267.199326,-11874923.24325337
1890-12-31,-1141291991.3237739,-1330468689.566957,-519854408.8602654,-984918886.5044917,24291270.052819997,3962756504.031345,-10486042.181530751
1891-12-31,-1141581004.9512868,-1330896826.6711786,-520171692.2976953,-984907569.0136964,24261208.853521466,3963032019.51246,-9704135.485520974
1892-12-31,-1141858699.9071183,-1331306647.9553068,-520465120.9895144,-984901977.3751087,24231180.06660095,3963302999.1723547,-8976855.615044437
1893-12-31,-1142117699.9043927,-1331692040.123358,-520736250.21595466,-984898797.5120171,24201880.159387887,3963563350.8846254,-8296274.102034015
1894-12-31,-1142357578.2793171,-1332051828.902315,-520986851.8113946,-984896535.7659203,24173529.017267406,3963816106.8016067,-7669156.684068428
1895-12-31,-1142580078.982994,-1332388044.3590972,-521218635.58933055,-984894230.3896625,24146235.586838484,3964060478.430274,-7094760.376530357
1896-12-31,-1142787146.876328,-1332703813.1621602,-521433339.38760656,-984891290.8012193,24119992.25263107,3964298252.606719,-6573312.605728604
