,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-1705667184.99434,-2892781546.5882225,-1079303347.8818908,-2332240613.6356983,568001887.7120993,7437003689.470106,4873394.535616859
1801-12-31,-1705058455.3717573,-2892202382.338184,-1079065096.8973873,-2331962665.538528,568039122.5008554,7437964720.226496,2240928.1730654766
1802-12-31,-1705024846.7490854,-2892095981.004631,-1078968579.9067583,-2331896243.816274,568035202.6005257,7438925974.364047,1008440.7537746666
1803-12-31,-1705218614.038736,-2892197294.0434093,-1078937478.2145946,-2331916053.8576927,568018222.3816519,7439886607.279248,348472.0689566061
1804-12-31,-1705513280.8595595,-2892406506.575779,-1078941823.7391415,-2331974734.6917686,567996277.3256568,7440850196.530116,-23439.250244198076
1805-12-31,-1705854178.1099432,-2892675387.873434,-1078966694.140446,-2332051779.2649336,567972299.1184886,7441811432.5851345,-241120.14304766388
1806-12-31,-1706217896.3718948,-2892979420.586384,-1079003947.7444863,-2332137938.8631563,567947381.7105234,7442772475.302431,-374395.50128371385
1807-12-31,-1706594854.026437,-2893305586.1206264,-1079049438.926982,-2332228937.497858,567922108.5908357,7443733196.298068,-460815.7616216915
1808-12-31,-1706983972.8300095,-2893649496.8759956,-1079100040.6859612,-2332323565.057434,567896327.2626147,7444696404.631918,-521469.1776877225
1809-12-31,-1707376772.3495228,-2894002602.101177,-1079154067.9469655,-2332419599.293843,567870515.3953878,7445657516.445376,-559410.0721348455
1810-12-31,-1707802687.6256504,-2894392341.047984,-1079213843.8336213,-2332523727.3020077,567842526.2375828,7446729639.741034,-621520.4339072821
1811-12-31,-1708289609.524086,-2894844377.123772,-1079282975.4042501,-2332642234.9445577,567810515.6134441,7447989765.038007,-718859.1387452694
1812-12-31,-1708799366.3566473,-2895316532.660118,-1079355640.3326268,-2332766784.5144114,567777194.7740927,7449253037.043597,-768937.0734169736
