,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-2160035605.6477065,-2888117455.319478,-1058675142.4674506,-2043261394.9124732,131835027.90529132,8020422865.978668,-2154551.047950684
1801-12-31,-2160585182.5768986,-2888835109.266787,-1058631897.5836805,-2043241187.456441,131826881.84088439,8020504768.511497,-1013249.7974403569
1802-12-31,-2160748623.328307,-2889110385.636811,-1058616993.2396499,-2043245612.7135322,131822939.79103997,8020586256.006755,-674194.4839569128
1803-12-31,-2160829634.5006895,-2889264875.09849,-1058614248.1007189,-2043254488.557348,131819240.5664733,8020667099.257989,-502201.59326005104
1804-12-31,-2160887366.1218314,-2889374329.410786,-1058617519.297483,-2043264411.1824157,131815350.28757197,8020748095.565377,-404739.8346173648
1805-12-31,-2160933249.063308,-2889459125.5372815,-1058624139.969117,-2043273867.0405023,131811298.44155851,8020827624.023621,-337031.02310128766
1806-12-31,-2160973160.371621,-2889528947.305721,-1058632606.1131607,-2043282586.2166114,131807196.88632628,8020906494.543506,-287136.09452835436
1807-12-31,-2161010066.16575,-2889588642.1998086,-1058642229.7706344,-2043290541.1415522,131803078.6433698,8020985136.3354845,-248895.4435383491
1808-12-31,-2161045346.5476403,-2889641109.236934,-1058652431.1809975,-2043297683.313759,131798930.17755222,8021063894.932564,-219067.09413649043
1809-12-31,-2161078840.8389997,-2889686288.0929694,-1058662785.7860321,-2043303817.6230848,131794764.23757714,8021140996.70413,-191564.70872671902
1810-12-31,-2161117139.721333,-2889734126.443626,-1058674182.0127758,-2043311268.083446,131790097.98378247,8021245307.195926,-184751.49124967292
1811-12-31,-2161174776.3361297,-2889799355.8436527,-1058689072.3721787,-2043325619.1604805,131783430.0141474,8021437948.4984865,-214756.98049306995
1812-12-31,-2161240174.2010427,-2889868726.2486744,-1058705210.8239982,-2043342147.2740102,131775931.3583509,8021630607.089148,-226498.15697743808
1813-12-31,-2161307170.094732,-2889938131.2332287,-1058722372.1957508,-2043359692.937262,131768011.266462,8021822965.188573,-221682.58619161847
1814-12-31,-2161378004.976405,-2890009468.257978,-1058740204.719302,-2043378127.8163452,131760254.7645526,8022014749.778693,-229803.85684251387
1815-12-31,-2161450796.764032,-2890081414.3478384,-1058758558.9289672,-2043396937.508403,131752486.90607372,8022206429.040242,-232221.68053655874
1816-12-31,-2161524553.754856,-2890153818.284561,-1058777191.0169603,-2043415908.113502,131744697.6238476,8022398352.4249525,-232862.98990221514
1817-12-31,-2161598870.794543,-2890225952.618789,-1058796154.7261308,-2043434822.0044804,131736897.15781036,8022589586.611841,-232135.57668525903
1818-12-31,-2161676213.1318026,-2890300485.1194615,-1058815567.2958007,-2043454271.2500267,131729391.97185066,8022780638.755522,-240752.12794443974
1819-12-31,-2161752169.15016,-2890373522.282222,-1058835098.1841447,-2043473403.1383028,131721675.59169859,8022971444.538436,-235146.75700459367
1820-12-31,-2161818321.262947,-2890437085.93705,-1058853204.1661557,-2043489646.1557775,131714292.43318477,8023132533.518557,-208554.12335365277
1821-12-31,-2161849796.378328,-2890464456.1240597,-1058865058.3679104,-2043490133.6125538,131711070.22599125,8023113421.997518,-133883.3283508165
1822-12-31,-2161865490.177631,-2890477762.0570045,-1058873854.1009235,-2043484324.4413118,131708712.01788124,8023093021.955564,-87659.70511511415
1823-12-31,-2161873021.8205876,-2890483972.402144,-1058881465.7399883,-2043475520.6332848,131706786.96889696,8023070780.34717,-63302.207542672586
1824-12-31,-2161875328.3512983,-2890484947.4246826,-1058887671.9053489,-2043464440.5649922,131705100.88787284,8023048117.592704,-43394.830081713306
1825-12-31,-2161874263.0828524,-2890482502.797947,-1058892815.66644,-2043452240.2987316,131703597.39705724,8023022481.306703,-29027.952516433637
1826-12-31,-2161870782.9403844,-2890477849.899846,-1058897531.9905539,-2043439052.9572504,131702192.47053275,8022995812.052324,-19997.770413253333
1827-12-31,-2161865652.647737,-2890471489.4350667,-1058901762.5693617,-2043425042.571696,131700854.5032463,8022967410.32517,-13106.868832771179
1828-12-31,-2161859432.5753694,-2890463895.3943534,-1058905708.7593614,-2043410532.8527431,131699574.44444132,8022938344.739373,-8126.6665949118615
1829-12-31,-2161851990.1480436,-2890455004.7418156,-1058909395.8314404,-2043395542.78505,131698393.13391352,8022906348.393432,-3604.3372446543945
1830-12-31,-2313285155.565627,-2979115475.064884,-1058913047.0432711,-2109091419.7196207,131697689.9118819,8561666625.491297,-225831369.9989305
1831-12-31,-2363214670.5118427,-2999742138.884115,-1058922051.1845105,-2149737216.4128065,131694871.33293867,8561741593.755454,-119982910.7544919
1832-12-31,-2387670783.7714095,-3006483047.20435,-1058934512.9151491,-2173031358.4985757,131691174.6885421,8561817083.4439125,-66520413.93364921
1833-12-31,-2401014958.791167,-3009390449.590764,-1058949412.013799,-2185921653.380912,131687013.85090816,8561891959.710755,-37840382.411191136
1834-12-31,-2408558603.1592445,-3010850280.6471143,-1058965906.1239625,-2193051419.7208767,131682610.41981715,8561966698.427639,-21958800.717800092
1835-12-31,-2412896504.703525,-3011651843.062132,-1058983482.2792612,-2197042613.953389,131678120.13165548,8562040790.049093,-12988288.209578631
1836-12-31,-2415417921.005248,-3012132803.302344,-1059001502.1561346,-2199306685.5608473,131673607.06557786,8562116274.5619755,-7827130.874747761
1837-12-31,-2416908095.3725166,-3012450051.575202,-1059019520.8031622,-2200610495.201495,131669231.7748043,8562190365.037229,-4812121.044826083
1838-12-31,-2417788506.151323,-3012670075.559665,-1059037208.8432498,-2201370072.9762163,131664945.32338232,8562263986.433912,-3024360.2526555117
