,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-33474835.071090136,-542998194.9338502,-974024358.6549679,-1544880190.4490962,390289147.17875284,2678252346.598839,26466335.996027317
1801-12-31,-33343248.332741823,-542768973.31629,-973179830.5739753,-1543187939.8640637,390385749.7071123,2678355832.1051784,23479073.17256429
1802-12-31,-33182419.79475259,-542418668.684876,-972561628.4371104,-1542001926.0171447,390486491.40111196,2678459021.177537,20982505.739677776
1803-12-31,-33012218.703099165,-542055178.7481551,-972081962.6313701,-1541096792.6108537,390574481.2633642,2678561918.052101,18896801.550082006
1804-12-31,-32839834.9341664,-541703620.8572944,-971695202.8183091,-1540371598.7342136,390649237.01487315,2678664968.1428204,17103428.410127584
1805-12-31,-32669123.255168468,-541372069.0447006,-971374651.9841304,-1539771748.749662,390712622.3476219,2678767231.718077,15536298.570463689
1806-12-31,-32503001.34011173,-541063446.8969141,-971103851.8422396,-1539264371.7841449,390766502.1385613,2678869214.4062066,14142666.9543629
1807-12-31,-32343438.014643706,-540778188.9909091,-970871782.8280764,-1538827946.045405,390812451.95022494,2678970885.399143,12892061.633163482
1808-12-31,-32191355.951962426,-540515378.3489134,-970670508.8624983,-1538447871.184552,390851759.2173255,2679072706.5923686,11767813.709442623
1809-12-31,-32047444.61386029,-540273979.3535548,-970494398.2552683,-1538113621.2911413,390885441.97957176,2679173724.6245694,10749068.967837276
1810-12-31,-31912996.592906456,-540054242.2190477,-970340384.6346087,-1537818840.4784088,390913663.4385393,2679295605.5307636,9795991.268960139
1811-12-31,-31788021.767377794,-539855314.4368814,-970206335.3363911,-1537561290.7112947,390936150.1003341,2679474116.380714,8896555.738682762
1812-12-31,-31673000.630349156,-539676112.8628473,-970089129.6757575,-1537333996.4649167,390954144.3160457,2679653119.5383377,8064680.752813993
1813-12-31,-31567333.620253626,-539514244.8836577,-969986143.5821294,-1537132733.9890754,390968417.83542085,2679831455.3575335,7309546.239131664
1814-12-31,-31470682.07298307,-539368330.5355073,-969895571.835167,-1536954225.5867996,390979500.20140564,2680009623.4287324,6617220.971534569
1815-12-31,-31382662.02892255,-539237057.5424417,-969815968.2544028,-1536795828.3013945,390987809.29769677,2680187670.178155,5981334.452527373
1816-12-31,-31303122.641127054,-539119391.5599481,-969746244.7047377,-1536655338.2960262,390993674.28118324,2680366186.0962815,5393498.123056934
1817-12-31,-31231228.11217342,-539013822.438522,-969685156.0127132,-1536531060.769519,390997394.19387573,2680544007.0265927,4858809.072554382
1818-12-31,-31166632.73326368,-538919578.2687272,-969631954.7990227,-1536421283.2050257,390999234.1917067,2680721639.871427,4363603.460215339
1819-12-31,-31108909.04830986,-538835706.4351069,-969585894.4702476,-1536324669.46984,390999398.2524407,2680899110.2745843,3907271.7052196926
1820-12-31,-31057269.6043268,-538760522.5488333,-969545521.9555879,-1536238527.67441,390998650.840308,2681054412.5700793,3504343.1758971787
1821-12-31,-31009953.52650276,-538689263.5459692,-969506998.2268181,-1536154290.8499372,390999002.2740398,2681105259.0003114,3215393.110115036
1822-12-31,-30966783.06676448,-538622930.6278383,-969471693.5449978,-1536075289.0894933,390999446.00141954,2681155426.0490828,2942393.348573808
1823-12-31,-30927326.002873078,-538561270.0735108,-969439600.3252931,-1536001954.6747713,390999707.21900207,2681204752.4315343,2691638.1912269313
1824-12-31,-30891421.6270668,-538504332.0103934,-969410762.0539638,-1535934194.7852838,390999678.78224635,2681253676.029801,2456459.0636261003
1825-12-31,-30858829.683459055,-538451831.1471313,-969384985.3048759,-1535871696.9228578,390999338.12509745,2681301125.0754256,2238832.5648313966
