,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-2044171931.3638701,-2635958524.583575,-798008062.9444828,-1447148865.619061,-5160481.142574221,6947239002.898309,-16537342.845317507
1801-12-31,-2046690925.6547675,-2638794033.191845,-798154428.8191904,-1447508178.9062586,-5240450.250719845,6948312436.008624,-11539403.874315305
1802-12-31,-2047732283.5351295,-2640123176.100104,-798292046.9474057,-1447765595.9740248,-5303700.231930733,6949386424.298603,-9974784.750872836
1803-12-31,-2048503672.9067435,-2641134350.569796,-798420426.1280861,-1447991438.4097805,-5358896.056731343,6950460414.823135,-8890407.44474849
1804-12-31,-2049157619.4239566,-2641994057.354183,-798540595.1324055,-1448197775.5589862,-5408998.014469653,6951537041.320369,-8096475.998915429
1805-12-31,-2049741283.5953712,-2642761255.971064,-798653801.4689,-1448390608.3358426,-5455577.606874466,6952611550.132535,-7478743.7992791375
1806-12-31,-2050277614.3097236,-2643464508.9274755,-798761209.6057342,-1448573965.4136283,-5499677.765769243,6953685693.8049345,-6981778.289792123
1807-12-31,-2050789480.801384,-2644123963.857601,-798863676.6827438,-1448751132.026955,-5541930.038561821,6954759964.34436,-6572837.567297564
1808-12-31,-2051280517.5250049,-2644750151.200638,-798962037.8208057,-1448923864.9472723,-5582906.150375575,6955837248.920594,-6229829.954923227
1809-12-31,-2051749376.2485857,-2645347912.9968243,-799057010.8470119,-1449092520.8996067,-5622961.459412426,6956912219.238409,-5935728.453519601
1810-12-31,-2052236500.639029,-2645949494.42713,-799150985.785403,-1449263425.0394158,-5663935.787929863,6958106408.007065,-5739653.52510776
1811-12-31,-2052750415.9982977,-2646578277.3384075,-799246832.8197987,-1449441341.0817492,-5707992.123523027,6959492167.666708,-5661019.928822286
1812-12-31,-2053275474.8969295,-2647209063.8923006,-799343374.3744388,-1449622764.1919801,-5753438.916689396,6960881335.369935,-5570880.37893694
1813-12-31,-2053808634.9587665,-2647836439.9619617,-799440141.3089471,-1449806410.853327,-5799566.374001503,6962267771.731263,-5471765.3636688795
1814-12-31,-2054345905.82436,-2648459189.2376375,-799536920.5415876,-1449991508.7191021,-5846095.020809799,6963653560.550717,-5370959.70544578
1815-12-31,-2054885897.183143,-2649076849.04511,-799633682.1053731,-1450177482.4684007,-5892849.174288124,6965039636.256085,-5270880.492819765
