,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-3236148815.0485787,-4410530416.930469,-850408945.1025722,-1484837043.7001686,-60100861.147518545,10053684999.697481,-11153253.643057274
1801-12-31,-3238639605.7263265,-4414093393.718447,-850905550.3246765,-1485547307.2257826,-60221390.90440576,10056121271.985018,-6128146.838358577
1802-12-31,-3239996531.789216,-4415867504.010892,-851177637.779412,-1485988664.0511265,-60306150.71222167,10058556799.162477,-4908751.949774768
1803-12-31,-3241116696.9090385,-4417324851.361132,-851381570.2523012,-1486365015.4454312,-60381317.41922139,10060992001.267456,-4159247.3266967325
1804-12-31,-3242172083.1376157,-4418670811.39431,-851559877.8509072,-1486711337.9296396,-60452626.05291048,10063433587.942505,-3628884.056751467
1805-12-31,-3243199717.567449,-4419948751.932562,-851725464.4575493,-1487037159.0817282,-60522022.83628978,10065868413.839949,-3215733.3426294173
1806-12-31,-3244214340.058565,-4421180623.524841,-851883795.3915322,-1487347808.880129,-60590521.312618956,10068302549.415066,-2881645.1951857936
1807-12-31,-3245221376.1322756,-4422374550.972639,-852037248.268808,-1487646886.0618389,-60658591.05318214,10070735863.17754,-2605830.646869516
1808-12-31,-3246225230.182462,-4423539818.273628,-852187452.481865,-1487937464.407407,-60726595.91100682,10073175492.112484,-2376511.3860244667
1809-12-31,-3247224399.5892224,-4424677833.846763,-852334926.7796041,-1488220585.3197975,-60794387.862495646,10075608962.9325,-2181429.6958351573
1810-12-31,-3248305334.2379637,-4425888520.015977,-852490470.5784858,-1488513789.8574488,-60868424.77668613,10078332781.935022,-2075807.7385516067
1811-12-31,-3249557112.3337755,-4427273412.117635,-852667824.07414,-1488837869.1622114,-60954660.46098627,10081570646.482468,-2071523.4904846093
1812-12-31,-3250848234.223811,-4428675278.560638,-852851084.4839201,-1489171778.8877006,-61043348.050375074,10084816645.14751,-2018914.120017252
1813-12-31,-3252149206.795349,-4430068895.857279,-853035156.7376794,-1489509413.7791686,-61132636.65212332,10088054980.8675,-1954145.6252845374
1814-12-31,-3253456916.2950435,-4431457180.522802,-853219852.1434524,-1489849652.6370595,-61222149.269687936,10091292626.265022,-1889689.473555672
1815-12-31,-3254765642.2456036,-4432834523.01651,-853403738.568187,-1490190425.7889328,-61311694.060491696,10094530231.48501,-1829960.7513668726
1816-12-31,-3256076464.870835,-4434207442.572417,-853585825.1768028,-1490530614.7929387,-61402170.37170228,10097775612.87749,-1783249.839942144
1817-12-31,-3257388408.799956,-4435569549.715538,-853769503.6780927,-1490872682.027209,-61491425.65252818,10101013696.57491,-1729979.414350909
1818-12-31,-3258699083.20174,-4436926427.925282,-853952339.310662,-1491213969.6814008,-61581031.045501456,10104250344.840025,-1687071.043770747
1819-12-31,-3260010039.4737277,-4438281110.697897,-854133373.5594506,-1491553760.0144677,-61671264.47986938,10107487402.184982,-1654598.5529178306
1820-12-31,-3261230056.0097566,-4439524926.572088,-854304591.1166077,-1491877662.4411547,-61753831.30963491,10110420622.664999,-1554396.2605540114
1821-12-31,-3262249689.246726,-4440546139.099903,-854448573.0500512,-1492158765.9753652,-61822688.19893402,10112741092.43999,-1368840.0071839285
1822-12-31,-3263224620.8543386,-4441530156.3204775,-854584050.7192621,-1492423530.0339544,-61888989.00847174,10115060455.507507,-1269490.2630561353
1823-12-31,-3264183358.277527,-4442502088.229791,-854716666.8655481,-1492679252.444745,-61954492.64052929,10117378708.214952,-1206047.2264969058
1824-12-31,-3265136500.542478,-4443469875.004085,-854848208.4474024,-1492929372.3364675,-62019809.76025733,10119701895.450003,-1163037.98309648
1825-12-31,-3266083670.3879704,-4444431909.412143,-854978729.299643,-1493175209.6692784,-62085013.58269884,10122018194.06998,-1130468.807604458
1826-12-31,-3267028154.257899,-4445391139.356092,-855109182.2208629,-1493418414.6563468,-62149952.091037154,10124333415.202482,-1104111.7899315965
1827-12-31,-3267971011.704832,-4446349158.560568,-855238429.6876129,-1493658765.9587972,-62215488.92765854,10126647160.724945,-1086737.1871464218
1828-12-31,-3268914653.9734054,-4447306629.60868,-855368566.0593425,-1493898557.0724576,-62280652.903219506,10128966308.295063,-1070250.6097425646
1829-12-31,-3269854104.0222025,-4448259133.115432,-855499058.4637064,-1494137534.082717,-62345190.487393945,10131278340.794968,-1053366.4509810642
1830-12-31,-3388519931.748454,-4531172389.330675,-855619429.3199813,-1525585159.542455,-62404204.83048111,10485302137.32751,-100472138.04277869
1831-12-31,-3420419607.202977,-4542194737.0458355,-855723893.593689,-1542669459.8714309,-62454393.26626213,10487022782.594992,-59505617.131364696
