,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-757304444.0192918,-1499680502.4277096,-1169000336.5503707,-2458157006.4783034,425075116.3858407,5450811041.941188,8107059.224608427
1801-12-31,-756986254.1436106,-1499368119.6513596,-1168563088.5890906,-2457568398.4446154,425089971.0558529,5452588451.104167,4727226.737002435
1802-12-31,-756987714.4615883,-1499224438.200332,-1168373051.4827802,-2457388276.7197337,425064718.3442916,5454364747.102115,2494951.481572019
1803-12-31,-757235398.6404171,-1499279245.7637844,-1168309028.8906212,-2457392485.9851766,425017084.66398484,5456140147.724266,1027073.1897887111
1804-12-31,-757642490.4704537,-1499478984.9401124,-1168319660.5427287,-2457492261.39227,424957610.69044805,5457919616.800133,36177.144637228455
1805-12-31,-758150859.4076896,-1499780402.7611046,-1168377319.6620312,-2457645148.4570413,424891831.09176874,5459693645.957908,-640212.6004900321
1806-12-31,-758724737.6212761,-1500153534.0977716,-1168466056.0650003,-2457829658.971821,424822549.22403556,5461466235.873239,-1111848.561039647
1807-12-31,-759341630.2770987,-1500577914.1809187,-1168575969.401723,-2458033974.9540906,424751279.7704809,5463238009.188544,-1447157.0174605306
1808-12-31,-759987964.0474988,-1501040177.5476947,-1168700716.5655282,-2458251676.574634,424678731.9414576,5465014053.686303,-1692062.430352692
1809-12-31,-760653089.2878273,-1501529182.2183318,-1168835640.5126877,-2458477814.5141697,424605587.0419615,5466784275.423312,-1868353.0425252134
1810-12-31,-761370874.9543343,-1502075032.1181936,-1168986754.7653978,-2458728533.0431523,424526182.3360323,5468785622.590807,-2118447.293304864
1811-12-31,-762195080.283366,-1502724546.367396,-1169164508.9659503,-2459027683.9190364,424433075.4306594,5471238983.555072,-2519368.2144367183
1812-12-31,-763077090.3082145,-1503425565.3854315,-1169356602.8312323,-2459347244.22631,424335692.8844025,5473698574.129769,-2776336.072743659
1813-12-31,-763993972.7771842,-1504156844.6345909,-1169557448.6027036,-2459678349.9369493,424236609.6632905,5476152057.779609,-2946720.5368755437
1814-12-31,-764934144.9494413,-1504909213.3120742,-1169764007.4558053,-2460018048.0766273,424135960.3296541,5478604680.937384,-3062723.252671543
1815-12-31,-765886422.6772316,-1505673901.8947854,-1169974729.750754,-2460361796.335975,424034978.9906828,5481056900.1559925,-3140996.399009983
1816-12-31,-766847645.1346191,-1506448463.9739888,-1170188723.6409662,-2460708863.7199793,423933600.89776623,5483515539.2807865,-3200251.126557672
1817-12-31,-767813408.341039,-1507228795.510695,-1170404738.8827171,-2461057591.511936,423832176.2133067,5485967790.005547,-3239463.14068469
1818-12-31,-768780022.8113493,-1508012628.2244446,-1170622641.008545,-2461406454.3407664,423731060.9059241,5488419360.8005905,-3267457.618339117
1819-12-31,-769751859.4374945,-1508801111.104292,-1170841286.0725648,-2461757823.409007,423629363.23440635,5490870260.201181,-3290466.274073088
1820-12-31,-770680280.0003756,-1509551500.8580534,-1171051534.8713145,-2462089028.8487406,423534354.62414336,5493079337.217513,-3178770.0220750878
1821-12-31,-771487554.7678025,-1510190968.2308514,-1171233906.6280692,-2462361392.8920517,423455431.2733277,5494667025.981043,-2800958.448749706
1822-12-31,-772226511.9519178,-1510777550.3376195,-1171403685.2077222,-2462609145.181627,423382203.6057006,5496252051.646574,-2573460.7481595473
1823-12-31,-772926009.9196355,-1511335740.99252,-1171565973.8362541,-2462844092.8333554,423311520.73336077,5497835071.28897,-2432944.366346423
1824-12-31,-773602617.5160941,-1511877845.0868816,-1171723588.9581444,-2463072021.6946254,423242012.22104883,5499420609.17528,-2345838.873947217
1825-12-31,-774264027.8265055,-1512408836.203605,-1171877734.6832473,-2463295119.9919486,423173313.9916653,5500998482.071905,-2286078.563908835
1826-12-31,-774915891.2105216,-1512932914.8493545,-1172029601.7188544,-2463515258.860596,423105071.99705297,5502574680.687685,-2246578.7631942765
