,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-1914974968.1799512,-2924023039.6829953,-608570112.5607878,-1165182664.517974,156443774.54801077,6456013323.633411,283342.75068003964
1801-12-31,-1915117800.1954486,-2924271159.6287413,-608537368.5025783,-1165126933.6531863,156446554.03356963,6457683995.68557,-1065499.4198099554
1802-12-31,-1915409553.866097,-2924739370.6187863,-608536780.8020985,-1165131633.106792,156435605.5767969,6459353881.022761,-1955230.4190649881
1803-12-31,-1915795762.445357,-2925315516.252456,-608553521.9120116,-1165169938.824475,156417132.0544262,6461022675.73151,-2584460.8936204757
1804-12-31,-1916247874.3439023,-2925956913.5150595,-608581492.7428765,-1165230783.6732357,156393875.28372508,6462695530.860671,-3048804.9379770053
1805-12-31,-1916746508.4930015,-2926639849.0365963,-608617271.9136007,-1165307838.9302244,156367442.81611687,6464363047.309134,-3393037.7593302475
1806-12-31,-1917280101.8857026,-2927351483.098023,-608658834.1564438,-1165397203.6868029,156338770.79198807,6466029441.338546,-3652547.127032707
1807-12-31,-1917840107.1270041,-2928084525.9165945,-608704839.6113958,-1165496208.4404569,156308465.36534002,6467694985.675122,-3848875.187723265
1808-12-31,-1918421099.6422145,-2928833424.350631,-608754365.640214,-1165602960.3740091,156276912.05974507,6469364170.736821,-3998077.5695779594
1809-12-31,-1919017473.6593194,-2929592436.730415,-608806615.284996,-1165715751.2543318,156244469.0927167,6471028029.801143,-4107971.8488133675
1810-12-31,-1919662058.0927398,-2930406650.28741,-608863768.3506573,-1165839805.403235,156209270.93099135,6472910110.934321,-4312941.692095139
1811-12-31,-1920403300.9495258,-2931336364.683878,-608929483.949874,-1165983827.2857647,156168638.62703156,6475219907.053559,-4697996.700870386
1812-12-31,-1921194027.0934043,-2932316019.5456495,-609000173.9309069,-1166139714.4668396,156125494.0916103,6477535592.632079,-4971074.079566184
1813-12-31,-1922015741.9495373,-2933322861.5196342,-609074340.6044873,-1166303978.3281121,156080883.77100658,6479845710.334178,-5168069.574198569
