,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-2999291289.733567,-4010217181.81943,-1228103303.9030087,-2131800883.3581872,47900214.27262008,10325535457.544935,-3989503.8083832124
1801-12-31,-3000388984.724922,-4011299266.675426,-1228091984.7293997,-2131746335.670005,47863400.31502825,10325652516.517479,-1972029.4731583362
1802-12-31,-3000810380.308855,-4011735534.331945,-1228089690.7409778,-2131742180.3718643,47850586.89403778,10325769341.730032,-1234622.5365880888
1803-12-31,-3001013402.519868,-4011990741.366928,-1228093394.9992342,-2131754607.6493773,47843545.93190122,10325886353.22,-874738.680468817
1804-12-31,-3001130793.9384584,-4012167990.3350167,-1228100350.1619887,-2131771878.6979868,47838117.83347261,10326002904.494974,-667764.6299681469
1805-12-31,-3001211990.437991,-4012304882.7799397,-1228108968.4264426,-2131790061.4443412,47833288.527240336,10326119134.350014,-534711.8761775548
1806-12-31,-3001276315.291626,-4012417837.0360184,-1228118345.8745434,-2131807614.6651602,47828656.43195379,10326234768.84746,-441870.2368460192
1807-12-31,-3001333648.197151,-4012516148.3627076,-1228128101.4849901,-2131824611.3657854,47823967.575549126,10326350107.492456,-376652.39810881985
1808-12-31,-3001385287.727841,-4012602637.8571787,-1228137901.298949,-2131840742.9028926,47819453.21672881,10326465570.32248,-323227.97190783656
1809-12-31,-3001433699.235918,-4012680302.4801617,-1228147550.0454352,-2131855960.612661,47814961.54935235,10326580419.53242,-281844.91116991395
1810-12-31,-3001485342.9386816,-4012756956.214197,-1228157682.0545251,-2131871812.1301017,47810061.26104635,10326718359.847507,-259061.28336797102
1811-12-31,-3001550517.346333,-4012845390.9340544,-1228169684.5879977,-2131891530.5989225,47804084.20770717,10326917702.339993,-265187.4743496374
1812-12-31,-3001620587.940814,-4012935875.6455245,-1228182506.8641806,-2131912757.4998217,47797692.40300566,10327118246.504995,-262497.71257131296
1813-12-31,-3001695192.547724,-4013028550.782678,-1228195763.5614998,-2131934692.1837842,47790771.84903979,10327317826.409939,-257479.19965253444
1814-12-31,-3001768553.694717,-4013118021.3448763,-1228209231.7977,-2131956922.2228405,47784103.95291942,10327517504.932522,-249480.89377757788
1815-12-31,-3001841665.2135453,-4013205919.552475,-1228222653.4513524,-2131979276.009474,47777479.6867401,10327716577.140007,-242992.95424348774
1816-12-31,-3001915041.111948,-4013292943.008604,-1228236169.8719695,-2132001734.4364364,47770832.99652678,10327916522.294977,-238462.24451893487
1817-12-31,-3001988236.493298,-4013379292.250521,-1228249796.4666882,-2132024290.9314258,47764147.03168374,10328115861.135008,-234540.71091152355
1818-12-31,-3002061820.3813076,-4013464897.13791,-1228263428.549074,-2132046766.346646,47757530.86375666,10328314969.867554,-231241.79780700972
1819-12-31,-3002135280.195528,-4013550105.384735,-1228277070.619864,-2132069422.6417527,47750872.064783335,10328514367.147467,-228742.77699976205
1820-12-31,-3002203552.065933,-4013628720.5977044,-1228290065.6493955,-2132090588.4349563,47744659.14323872,10328688825.157526,-215804.164397942
1821-12-31,-3002241878.257277,-4013675431.3626184,-1228299416.5066674,-2132103322.6006207,47740305.479864895,10328751049.147491,-155593.90811823314
1822-12-31,-3002271511.2139773,-4013713091.3056116,-1228307255.7915602,-2132112700.8857327,47736428.04826164,10328812444.02005,-126937.81674280984
1823-12-31,-3002296947.1959724,-4013745999.074463,-1228314300.804863,-2132120350.9577599,47732803.90344578,10328872666.43997,-110297.13150743207
1824-12-31,-3002320393.5753937,-4013776611.2042427,-1228320847.7519836,-2132127036.717433,47729228.93661356,10328933319.85496,-100337.39825827908
1825-12-31,-3002342323.8751326,-4013805374.0932345,-1228327068.6981196,-2132132970.3729765,47725774.409442425,10328992209.112474,-93252.26675866908
1826-12-31,-3002363226.582613,-4013832957.0656734,-1228333077.971209,-2132138475.3700266,47722357.41114676,10329050316.734941,-88291.41109940027
1827-12-31,-3002383418.604233,-4013859765.5713696,-1228338971.100332,-2132143558.13929,47718953.492721796,10329107726.729988,-84675.25759822222
1828-12-31,-3002403032.304169,-4013886031.7376986,-1228344773.0991538,-2132148393.638937,47715586.04518765,10329164877.397535,-82202.25023486685
1829-12-31,-3002422138.646889,-4013911682.3127704,-1228350484.6537604,-2132153050.3631995,47712229.766757786,10329220935.967432,-80026.0406784784
