,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-484007299.5998429,-760646097.8265994,-1025817118.3539232,-1784068495.0745816,116527270.9409259,3934338260.7772546,3686491.0989459343
1801-12-31,-484750330.93346876,-761288275.303332,-1025500641.6502504,-1783369378.7789164,116466587.25944811,3934311797.3412924,4296316.010574586
1802-12-31,-484956736.2739713,-761540718.2599207,-1025248874.3689123,-1782870932.360258,116439857.7529397,3934283723.343863,3932108.4969142163
1803-12-31,-485074329.8705576,-761688756.9721923,-1025046781.0179448,-1782501424.681929,116424988.32889748,3934254038.941334,3649889.602705697
1804-12-31,-485153435.21670616,-761779135.631559,-1024881475.765104,-1782218450.4828064,116415655.11483544,3934224016.0966573,3402455.918718851
1805-12-31,-485206604.42435676,-761832950.8427662,-1024744381.3608315,-1781995480.701651,116409093.24186158,3934190908.762216,3192074.3548506387
1806-12-31,-485251531.3113423,-761860257.3809835,-1024628164.234137,-1781815610.635663,116404164.88017112,3934156658.2418184,3005397.450348881
1807-12-31,-485285761.73462266,-761869683.2470753,-1024529380.4519764,-1781666695.275063,116400105.72705299,3934120718.0910068,2825475.6263252124
1808-12-31,-485310344.3282531,-761865521.6699493,-1024444753.1918148,-1781540703.7573593,116396575.96729445,3934084358.060201,2672016.8158919034
1809-12-31,-485327632.0125029,-761852007.472471,-1024371814.1465498,-1781431802.1288059,116393429.662978,3934045010.0634933,2534022.5350801907
1810-12-31,-485344398.0202156,-761831918.07398,-1024309687.078532,-1781337930.4216876,116389746.02787429,3934052711.356284,2370690.782859503
1811-12-31,-485364891.08524406,-761815814.1729275,-1024261447.0063586,-1781265471.2719367,116382455.3565374,3934255862.4174285,2064750.8268851438
1812-12-31,-485391057.35696286,-761799998.0815588,-1024223695.0942638,-1781207413.916525,116373280.14512956,3934460053.579422,1783302.0957637758
1813-12-31,-485415730.1862218,-761786750.8941553,-1024194609.7830514,-1781160271.7950315,116362859.71294963,3934662626.5265145,1532304.5455236253
1814-12-31,-485443379.31132084,-761774642.2636127,-1024172905.3826175,-1781121812.8707066,116351534.2608515,3934864553.0538254,1299745.054261135
1815-12-31,-485472930.30220366,-761764145.1212077,-1024157590.6529299,-1781090496.2320368,116339522.34811306,3935066107.282081,1084668.903941038
1816-12-31,-485504239.4832028,-761755497.2542679,-1024147872.8148568,-1781065210.0215235,116326948.00888073,3935268829.9794827,884236.2821839718
1817-12-31,-485538974.3140831,-761748176.5988313,-1024143000.6536247,-1781044891.6833665,116313974.51191175,3935469690.0825295,697611.7388792117
