,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-1811647323.5213768,-2754729122.6405582,-524052077.9433148,-964390964.3932523,58568411.7170883,5999649024.598004,-3379556.700834915
1801-12-31,-1812353723.394359,-2755390828.550003,-524054084.1025979,-964367991.7438704,58541174.79263632,6000998210.146523,-3351975.577418263
1802-12-31,-1812925777.047246,-2756054632.168223,-524072227.3408138,-964392883.7819986,58518904.30501264,6002346662.988929,-3399728.215210407
1803-12-31,-1813448440.5899441,-2756715885.7591395,-524098856.40172917,-964444201.4492168,58497617.48726064,6003694299.175802,-3465391.9255396426
1804-12-31,-1813952229.8346047,-2757380700.3496103,-524131202.62435544,-964512490.1746783,58475990.09189683,6005044984.70455,-3524528.7106611184
1805-12-31,-1814449231.7205548,-2758049180.1477575,-524167494.33771867,-964592336.5397104,58453741.56535721,6006390752.3659315,-3566321.76592727
1806-12-31,-1814948866.7432506,-2758720581.303753,-524206693.10170734,-964680544.4168527,58430868.144776836,6007735616.402787,-3587492.415448528
1807-12-31,-1815449348.243755,-2759394871.2157106,-524248043.84202087,-964775143.9833518,58407425.32775849,6009079359.487097,-3599048.502064185
1808-12-31,-1815952003.3674412,-2760071692.5494056,-524291086.1250723,-964874719.3687123,58383497.96729542,6010426344.233757,-3600821.524972901
1809-12-31,-1816455828.281184,-2760748270.6315947,-524335338.5149975,-964977994.3868825,58359247.45988576,6011768555.753965,-3589648.4828481297
1810-12-31,-1816992450.3276365,-2761466053.2866583,-524382821.5377368,-965089702.7586658,58333101.14564681,6013293647.914424,-3673234.184591561
1811-12-31,-1817608276.4519043,-2762280044.802294,-524436974.91703206,-965218300.307884,58302770.658837214,6015193023.831651,-3928841.0448581222
1812-12-31,-1818260722.2711697,-2763134501.560037,-524494722.16062385,-965356742.7749805,58270709.77971484,6017097124.571717,-4096383.9311869303
1813-12-31,-1818934352.1147838,-2764010143.9325004,-524554770.72596747,-965502075.2900006,58237715.302801,6018996479.492516,-4207262.999753088
1814-12-31,-1819622101.3356924,-2764898500.9471006,-524616433.2871125,-965652710.2666247,58204124.73818134,6020895098.509491,-4283011.382368945
1815-12-31,-1820319796.6427689,-2765794879.9693627,-524679323.6210134,-965807554.6089622,58170125.38715571,6022793328.868288,-4334928.5599407265
1816-12-31,-1821025652.5444353,-2766697445.4218016,-524743206.11469287,-965965959.3118335,58135792.18076539,6024696621.73161,-4372810.911160037
1817-12-31,-1821736527.1347957,-2767602592.386888,-524807764.0283932,-966127093.0571731,58101271.14611028,6026594666.303423,-4394575.269444517
1818-12-31,-1822451291.8494935,-2768509317.2573395,-524872861.68603617,-966290434.5637195,58066615.669033885,6028492193.486598,-4407195.45664682
1819-12-31,-1823169121.522123,-2769416875.087739,-524938390.891327,-966455610.9875686,58031851.65571906,6030389379.634004,-4413450.025800422
1820-12-31,-1823856857.1840258,-2770282674.0402327,-525001800.7336735,-966616570.0136715,57998718.05546187,6032094797.367827,-4308508.266726247
1821-12-31,-1824440148.3006058,-2771016171.6053033,-525057358.3638078,-966757298.5799756,57970656.73805015,6033258635.979153,-3933586.877144692
1822-12-31,-1824978681.9962876,-2771693734.5997396,-525108938.4394616,-966887558.0845,57944512.53554089,6034420452.277476,-3672943.436912015
1823-12-31,-1825489849.8363378,-2772340647.663277,-525157726.0269884,-967010711.9887401,57919427.760115415,6035579896.643809,-3477932.7646189993
1824-12-31,-1825984200.0083263,-2772967181.151493,-525204490.25793195,-967128576.9572508,57894958.5384347,6036740852.434399,-3328260.5915886518
1825-12-31,-1826465748.6810923,-2773577469.7933393,-525249676.52291673,-967242251.8303993,57870946.12544455,6037895159.611373,-3208649.592750802
1826-12-31,-1826938268.4916193,-2774176165.0590277,-525293695.24841624,-967352594.1315224,57847249.7299763,6039047751.027515,-3112601.2292238
1827-12-31,-1827403781.32026,-2774766053.0965667,-525336880.9732637,-967460199.4105779,57823783.42396928,6040197701.251168,-3033421.368038378
1828-12-31,-1827864506.800025,-2775349817.0728583,-525379415.4657619,-967565645.6292446,57800454.15383464,6041349342.186773,-2969722.237676641
1829-12-31,-1828320304.828327,-2775927064.499954,-525421373.4682072,-967669122.6873823,57777281.58101396,6042493894.12643,-2912992.651791727
1830-12-31,-1854881107.661004,-2792818604.8583937,-525460720.9691442,-970288834.1442003,57755753.7658509,6163568846.6107,-77403463.9276986
1831-12-31,-1867748076.6774757,-2799473614.3979297,-525498904.0692892,-972979572.4733939,57735591.876257986,6164548185.98653,-56240342.14458106
1832-12-31,-1875409657.7701287,-2802790398.844788,-525536746.0402309,-975671809.664115,57715972.390518755,6165530469.88989,-43571322.33171921
1833-12-31,-1880350889.8578272,-2804742471.0637326,-525574365.735996,-978164424.1689689,57696683.38793972,6166510525.439539,-35158847.56044735
1834-12-31,-1883881825.9780087,-2806046662.918082,-525611838.8677967,-980372391.3573213,57677602.63210733,6167490466.146144,-29076023.62158542
1835-12-31,-1886636629.4672842,-2807019247.1041136,-525649184.0853346,-982282650.1781319,57658658.63259062,6168470801.971454,-24392220.866056774
1836-12-31,-1888913119.6462512,-2807816209.1670957,-525686456.76710516,-983915670.7371509,57639778.14909145,6169453542.408488,-20635880.827612095
1837-12-31,-1890805905.1061468,-2808511910.039001,-525723586.3199513,-985303547.7429204,57620977.77633473,6170434516.618834,-17602125.40009852
1838-12-31,-1892420289.6857603,-2809145922.7823067,-525760675.04264766,-986481243.063792,57602225.507506415,6171415255.389412,-15117468.668391967
1839-12-31,-1893820205.658049,-2809739882.118583,-525797664.68379396,-987481260.8300653,57583510.20207517,6172396031.222642,-13061432.21740126
1840-12-31,-1895107547.1680126,-2810380800.4059873,-525838899.20409334,-988342405.6643544,57561868.67635131,6173711809.784799,-11534525.948049456
1841-12-31,-1896280841.2088866,-2811048620.760323,-525882713.45677775,-989079528.0772271,57537309.58778243,6175072143.978891,-10256077.853367507
1842-12-31,-1897357072.894561,-2811723215.714493,-525927388.2117225,-989713422.9836967,57511636.78694725,6176428915.279716,-9164751.696104137
1843-12-31,-1898349812.2002966,-2812398590.6855097,-525972460.68238544,-990261428.774668,57485385.65004636,6177781262.388046,-8235668.71165716
1844-12-31,-1899272317.719936,-2813073578.006276,-526017792.8445483,-990737960.94153,57458767.93346611,6179134003.060871,-7445493.019050506
1845-12-31,-1900132408.2886837,-2813745806.289904,-526063243.9043742,-991154757.7616754,57431973.824337095,6180476663.441565,-6772592.801642086
1846-12-31,-1900939667.0221457,-2814414856.1290846,-526108809.8024892,-991521662.437397,57405070.83655816,6181815613.492154,-6199771.862619342
1847-12-31,-1901701848.404506,-2815080477.1571403,-526154466.7437367,-991846724.0848566,57378113.282900155,6183149868.4626045,-5711167.339305423
1848-12-31,-1902426180.9480147,-2815744020.161552,-526200208.0581682,-992136832.3576999,57351087.63429028,6184484681.228178,-5297545.916133644
1849-12-31,-1903116966.934238,-2816403654.9923058,-526245967.20408034,-992397248.4353839,57324087.51820955,6185809036.820974,-4940706.323489321
1850-12-31,-1903814326.7895072,-2817104145.967889,-526294260.72078955,-992638669.1893167,57295332.93838902,6187329029.316318,-4745204.945180276
1851-12-31,-1904589972.9154027,-2817927597.438352,-526350165.6072339,-992878156.3532071,57261690.349178866,6189342605.747093,-4830032.587742666
1852-12-31,-1905391263.8171258,-2818804455.4024086,-526410118.2698556,-993109992.6676275,57226054.035762146,6191358861.719122,-4846850.8442203095
1853-12-31,-1906197144.4406395,-2819706065.4581532,-526472310.26643807,-993333679.3006681,57189596.422231644,6193365000.815509,-4815392.260950774
1854-12-31,-1926498177.9363444,-2868017340.391678,-528116113.0389866,-993550178.0018342,54851733.98338269,6375447610.118311,-113412850.64178993
1855-12-31,-1938062308.8433976,-2890048446.6293025,-529209581.3112494,-993761034.6927032,53761881.4653642,6377446685.136128,-79633394.26967202
1856-12-31,-1945562317.7589002,-2903788806.757977,-530089399.4273545,-993968066.381161,53071509.523781836,6379448539.08225,-58746603.81605664
1857-12-31,-1950745656.314826,-2913880967.76865,-530810234.86922204,-994172114.9164792,52610039.97386813,6381439883.049007,-44168299.04696305
1858-12-31,-1954532489.8217204,-2921421078.1042814,-531398911.6604278,-994373901.0950295,52292165.50689697,6383427194.095184,-33784218.33234305
1859-12-31,-1957426104.4472895,-2927110362.5870957,-531878315.72526544,-994573352.2746474,52061351.62771623,6385410605.221365,-26319075.25295084
1860-12-31,-1959699122.4060087,-2931485348.5917325,-532267075.5407306,-994766512.2891202,51888403.41989261,6387255197.654533,-20796579.194060043
1861-12-31,-1961507001.981991,-2934940763.7595468,-532580611.010196,-994946898.2346067,51756550.848859444,6388851310.334388,-16529766.601638637
1862-12-31,-1962998262.990353,-2937726774.4063945,-532835592.14264256,-995118841.3604947,51652529.46394487,6390443304.494046,-13331228.304804532
1863-12-31,-1964263951.633761,-2939997275.7785497,-533044697.68026125,-995284012.9810597,51568180.15534657,6392030588.913023,-10938653.446855709
1864-12-31,-1965367979.1675394,-2941896205.9778366,-533218130.0728649,-995443393.6186414,51497964.961200014,6393618100.906163,-9132061.880163496
1865-12-31,-1966346605.6399117,-2943517188.0866685,-533363814.1350591,-995597423.8568636,51438143.368761405,6395194741.503327,-7758196.324831412
