,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-777628656.7167742,-1278050008.312582,-368538578.58807296,-735174911.7960202,122400622.35877182,3035317772.161359,1600764.4621731034
1801-12-31,-777703723.2551782,-1278102426.8263876,-368493147.72414345,-735122611.3977051,122395211.72985435,3036527460.5850306,475560.59441501
1802-12-31,-777962229.5877209,-1278354307.556831,-368494114.28243876,-735154216.6811926,122376376.24743387,3037736877.8887863,-145739.8001880572
1803-12-31,-778319653.3654189,-1278705089.1909425,-368517897.3231507,-735223895.0778221,122351295.46362996,3038946034.814912,-507581.4766175287
1804-12-31,-778730541.1164882,-1279106942.2842252,-368555869.8541122,-735315197.4459337,122323303.14798263,3040158146.079191,-735403.314223
1805-12-31,-779176027.6150441,-1279544737.9531097,-368602433.53338116,-735418330.9582199,122293340.02631265,3041367021.423906,-880537.8137549552
1806-12-31,-779634909.1608617,-1279998295.724637,-368655717.90558565,-735528879.0248643,122262819.35586876,3042575389.6792097,-977594.343332091
1807-12-31,-780105601.5928049,-1280465543.0934658,-368713092.0118728,-735643612.2862065,122231727.36015643,3043783492.779855,-1042100.2081073731
1808-12-31,-780585630.139923,-1280942948.0137992,-368773280.08108765,-735761103.5498646,122200224.44053958,3044994540.2009025,-1087781.782055535
1809-12-31,-781067406.4565428,-1281424684.724788,-368835564.4218554,-735879936.2070981,122168664.90002671,3046202352.5530467,-1115398.494012083
1810-12-31,-781584146.5777125,-1281946593.8419507,-368903038.13914925,-736007535.6197459,122134624.72104688,3047556471.357266,-1196675.8133392986
1811-12-31,-782176813.1166058,-1282549915.3339548,-368979327.1872664,-736153526.1400452,122095271.3703196,3049173752.684937,-1350720.3285031088
1812-12-31,-782799786.2387414,-1283181250.8445761,-369060083.5148919,-736307276.7990687,122054304.27586599,3050795144.820644,-1438717.1260705772
1813-12-31,-783436902.708223,-1283825027.4393167,-369143551.97372824,-736465017.257358,122012719.30989069,3052412674.5738535,-1490563.379609842
1814-12-31,-784080718.0369737,-1284475440.5841174,-369229007.66195863,-736624997.1968125,121970868.41231897,3054029742.4235005,-1523324.0785978907
1815-12-31,-784730381.0161664,-1285131618.0971794,-369315589.0933186,-736786536.3255037,121928792.06193325,3055646737.6263466,-1544981.6268587962
1816-12-31,-785381751.4173694,-1285790609.700455,-369403376.8989739,-736948953.2328413,121886781.20736893,3057267842.092282,-1560372.9495907763
1817-12-31,-786036345.7217631,-1286452333.4392524,-369491524.0138919,-737111989.1132847,121844780.86991934,3058885080.9008436,-1570296.873394052
1818-12-31,-786691100.91986,-1287114632.5136929,-369580119.6697831,-737275234.9315054,121802846.23902805,3060501849.820387,-1576088.4527935702
1819-12-31,-787345544.2298417,-1287777458.9771228,-369669151.2853384,-737438521.5686398,121760948.44742152,3062118533.7079105,-1580621.0745688318
1820-12-31,-787968381.4994953,-1288404789.8058822,-369754401.6345662,-737593874.222117,121721450.52382325,3063582435.5125036,-1522025.7473007962
1821-12-31,-788501388.6180497,-1288938370.4979398,-369830386.92952317,-737727144.6157875,121688006.83601376,3064724070.475112,-1357498.605270245
1822-12-31,-789001225.9361191,-1289441982.6366177,-369902134.5088591,-737851634.1379018,121656283.1008556,3065864914.166697,-1270662.1000896916
1823-12-31,-789484789.6837621,-1289931897.7120247,-369971319.4991397,-737971401.8743215,121625290.30112554,3067005087.430575,-1219521.744277891
1824-12-31,-789962156.1466548,-1290415707.6959598,-370038783.7813704,-738088687.1062729,121594553.22816178,3068147728.5342216,-1190134.1275145295
1825-12-31,-790432048.3651351,-1290893562.6073234,-370105198.1585679,-738204043.6128983,121564128.800085,3069286672.545216,-1166431.9263582104
1826-12-31,-790898937.216646,-1291368530.476252,-370170772.97913104,-738318331.966671,121533816.1615176,3070424809.8015194,-1153050.5024481788
1827-12-31,-791363061.4569519,-1291841157.2330885,-370235869.8320432,-738431836.2748091,121503609.015114,3071562263.6443744,-1143637.8046996123
1828-12-31,-791828101.899524,-1292313998.330246,-370300492.81724447,-738545199.0115923,121473335.44060346,3072702178.5355196,-1139157.5994440473
1829-12-31,-792291475.884501,-1292785080.1977181,-370364775.68631613,-738658125.3598714,121443133.29200399,3073838374.961436,-1133714.7679256035
