,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-1197153444.6869156,-1933118481.5050745,-596088164.7867347,-1213644097.6454651,233751887.94091457,4703569977.9827385,2641077.2611699286
1801-12-31,-1196682834.2859905,-1932650666.745534,-595956474.3257515,-1213431839.240728,233782936.62716728,4703290222.08459,1625934.130028971
1802-12-31,-1196374985.3354254,-1932344817.0188,-595880158.4774767,-1213302801.9844675,233798545.7148763,4703008936.488739,1079762.8693400167
1803-12-31,-1196152106.760271,-1932120686.3148537,-595829712.4208918,-1213209867.6338453,233808111.06909782,4702725683.454046,766763.8822201114
1804-12-31,-1195973189.312045,-1931940987.5449493,-595794007.4205928,-1213135440.774646,233814909.1375345,4702441180.356324,577165.9561268104
1805-12-31,-1195817675.2732913,-1931786960.4075844,-595767424.9610803,-1213071039.3639665,233820351.8521975,4702154159.693408,458587.7122036777
1806-12-31,-1195675214.4850872,-1931648722.2899227,-595746719.6027912,-1213012277.144123,233825089.79812646,4701865884.521235,382098.4237837719
1807-12-31,-1195540008.1369128,-1931520303.5167634,-595729941.4955152,-1212956659.1631618,233829458.8739477,4701575933.698218,331882.4950675074
1808-12-31,-1195409573.9945643,-1931399601.6320734,-595716187.207051,-1212903003.1761546,233833607.80441865,4701284545.984629,290739.50775821647
1809-12-31,-1195281045.7350914,-1931282510.6657124,-595704147.3573709,-1212850165.8188848,233837672.68065166,4700990631.6475935,270475.8912913668
1810-12-31,-1195159319.9967544,-1931174040.1399174,-595693939.7168492,-1212799098.8152995,233841289.63900936,4700719542.001102,247209.77086524398
1811-12-31,-1195080496.1854243,-1931111889.8365293,-595689823.4789941,-1212760208.016466,233842264.30340746,4700613959.642744,165975.87700985762
1812-12-31,-1195014770.305737,-1931063497.466073,-595688569.1997186,-1212725298.741043,233842540.1722646,4700508382.009562,125451.9323062174
1813-12-31,-1194954781.466211,-1931021427.263657,-595689133.4514332,-1212692321.1839118,233842542.26625818,4700401764.52469,100948.58291739674
1814-12-31,-1194897661.3353791,-1930983094.0907545,-595690827.1582433,-1212660400.6227865,233842412.3414946,4700294743.758822,85089.08285015154
