,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-2154862083.5604897,-2907562995.7232466,-759914347.4274129,-1414551000.5118601,105633019.57317457,7135530903.385367,-4237442.0123047745
1801-12-31,-2155583547.548766,-2908605606.3280835,-759964730.5942724,-1414646096.136748,105617386.45825285,7136216679.666432,-2993313.8489701333
1802-12-31,-2155976262.248428,-2909253895.403782,-760016009.944128,-1414737268.561486,105600115.93481842,7136901977.027331,-2485277.1206579315
1803-12-31,-2156303361.1863484,-2909773384.8269773,-760066096.4694247,-1414824724.6045709,105581900.1480407,7137587067.169186,-2168885.269295966
1804-12-31,-2156607316.7845726,-2910231357.9972935,-760114596.9825904,-1414908913.0539973,105563335.22648153,7138274029.623005,-1946648.7118307506
1805-12-31,-2156901067.019595,-2910652388.660142,-760161717.1524521,-1414990720.9116983,105544725.57750376,7138959052.453604,-1776980.527226699
1806-12-31,-2157183881.477479,-2911042977.3712606,-760207689.5787433,-1415071079.2951674,105525942.82107657,7139644080.68045,-1639110.2633476548
1807-12-31,-2157465937.356127,-2911417078.4501243,-760252548.8993791,-1415150077.862904,105507135.53924286,7140328364.08182,-1527416.5420065671
1808-12-31,-2157747320.010605,-2911776960.399335,-760296587.0477862,-1415228233.6053195,105488402.02117234,7141014512.248045,-1436387.469405275
1809-12-31,-2158024209.176038,-2912122148.399577,-760339906.9234433,-1415305686.8835907,105469566.07341313,7141698850.573506,-1356461.3811605368
1810-12-31,-2158318344.5075116,-2912478444.833082,-760384433.4123945,-1415386374.2597063,105449495.85096015,7142467159.815858,-1328899.9602672863
1811-12-31,-2158648894.987936,-2912868503.466116,-760432767.3459173,-1415475586.2607856,105426664.15050824,7143390367.940588,-1366978.114530603
1812-12-31,-2158999538.072485,-2913271410.8292317,-760482851.4922626,-1415568672.8786464,105402856.37895173,7144315688.482506,-1378293.741888743
1813-12-31,-2159355282.821437,-2913673705.3826857,-760533996.4008338,-1415663983.2480028,105378539.1443818,7145238877.90388,-1372463.552088034
1814-12-31,-2159713863.7347918,-2914073549.2005625,-760585842.5327597,-1415760632.0643637,105353914.51626827,7146161667.539375,-1360200.2324985743
1815-12-31,-2160076506.746926,-2914472584.789371,-760638067.9163138,-1415857975.3621502,105329214.67800987,7147084549.5166855,-1347124.977059557
1816-12-31,-2160439477.246939,-2914868159.678268,-760690763.428865,-1415956024.001001,105304435.51346518,7148009767.158538,-1334525.1902370374
1817-12-31,-2160807355.809659,-2915266152.6122527,-760743391.9685357,-1416054150.0801826,105279529.22945678,7148932769.94993,-1319995.1919586032
1818-12-31,-2161175680.450586,-2915661764.6320386,-760796164.7059059,-1416152402.9059067,105254701.08747269,7149855611.01125,-1307147.702133434
1819-12-31,-2161542859.301199,-2916054395.9090858,-760848988.5727397,-1416250734.2300649,105229815.68525022,7150777938.70417,-1293622.0884281963
1820-12-31,-2161890717.0894938,-2916422872.682501,-760899876.4367877,-1416344992.507293,105206184.42372477,7151612703.838105,-1240864.4468810102
1821-12-31,-2162188118.8780875,-2916731805.6324368,-760945572.2387592,-1416427794.3400898,105185852.36451656,7152252909.424245,-1114153.2437250349
1822-12-31,-2162469922.1867933,-2917025814.3781037,-760988497.9666674,-1416505047.904059,105166650.07881826,7152892489.35501,-1039700.5005446954
1823-12-31,-2162742336.520454,-2917310890.1163626,-761029555.5240666,-1416578969.1883843,105147967.36350317,7153531641.3104105,-988704.7432474924
1824-12-31,-2163009136.6788836,-2917590507.562133,-761069467.2498168,-1416650733.586614,105129607.1536258,7154172022.220933,-953436.8372236617
1825-12-31,-2163271745.196039,-2917865851.81513,-761108436.2917807,-1416720971.766468,105111411.34718716,7154810384.075844,-926957.0205738096
1826-12-31,-2163531563.47911,-2918138184.3665547,-761146793.3171498,-1416790083.6944852,105093348.80852075,7155448049.923901,-907252.8637495594
1827-12-31,-2163792815.6654124,-2918413479.139532,-761184623.8098261,-1416858216.2180383,105075440.53077567,7156085387.769353,-895185.0787656716
1828-12-31,-2164047209.261562,-2918678710.809165,-761222283.4943655,-1416926177.1446185,105057455.0049644,7156723654.600913,-880210.6785387796
1829-12-31,-2164302523.3285933,-2918945470.9398427,-761259595.7597644,-1416993543.3456893,105039541.98423228,7157360137.866609,-871833.2817988154
1830-12-31,-2196870831.3238444,-2939064088.5780005,-761295148.7023927,-1423673846.501001,105022878.40344463,7271978511.832012,-55037426.76653899
1831-12-31,-2207409942.698211,-2943944445.4244394,-761328165.0377107,-1428895938.4481745,105008104.46870492,7272466745.900983,-35569460.264109194
1832-12-31,-2213313884.478232,-2945910289.9173346,-761359909.3957407,-1432939544.0657923,104993977.49587919,7272956210.76963,-24228620.304662764
1833-12-31,-2217042756.1058273,-2946923604.00011,-761390756.236794,-1435914569.707675,104980156.77191004,7273444872.797258,-17017977.828930903
1834-12-31,-2219564863.315602,-2947550207.7362733,-761420962.1402525,-1438061246.9552727,104966531.25508177,7273933410.7228,-12201133.617431924
1835-12-31,-2221351052.5476804,-2947995179.1766224,-761450679.8417579,-1439605619.1315846,104953008.32817508,7274421818.288821,-8890537.112132888
1836-12-31,-2222665922.7089906,-2948350477.23293,-761480162.4462903,-1440722644.122492,104939526.8079354,7274911804.882103,-6583662.166075259
1837-12-31,-2223648719.5808992,-2948645873.3859377,-761509361.5990548,-1441536933.4709356,104926067.86398345,7275400526.852339,-4940555.743924936
1838-12-31,-2224408778.381353,-2948910350.5985136,-761538389.8520101,-1442136934.0902312,104912646.86200061,7275889381.064253,-3771574.7518992075
1839-12-31,-2225011470.95194,-2949155393.479937,-761567302.4722223,-1442584766.7922163,104899222.45718725,7276377914.520636,-2931552.2492517084
1840-12-31,-2225528277.656355,-2949419311.985623,-761599347.3501978,-1442930689.5508835,104883549.46097416,7277020300.770173,-2384448.113579454
1841-12-31,-2226012072.656221,-2949731047.479659,-761636401.3512698,-1443207546.218287,104863984.14054753,7277809181.272781,-2063274.1387551168
1842-12-31,-2226454152.890417,-2950050434.182903,-761676015.7013865,-1443432448.795882,104843160.64907293,7278597233.810229,-1807087.349411942
1843-12-31,-2226863824.0643816,-2950372625.189641,-761717229.3568755,-1443619219.5285864,104821734.70124342,7279384003.578364,-1612603.9843232492
1844-12-31,-2227249940.278091,-2950697519.04605,-761759656.7610035,-1443778148.9084997,104799961.26037215,7280172706.225049,-1468160.306652661
1845-12-31,-2227617139.3180895,-2951022683.5384703,-761802905.0349411,-1443916593.5010598,104778046.05364561,7280958192.716586,-1358142.7197344739
1846-12-31,-2227970321.571549,-2951347698.714227,-761846713.78329,-1444039920.8792663,104756033.52804504,7281742380.054367,-1275178.5936531362
1847-12-31,-2228314432.600026,-2951674369.1336775,-761890956.7463756,-1444152087.3931663,104733966.10990153,7282526153.589782,-1214361.2495069779
1848-12-31,-2228648280.0101314,-2951998623.7803106,-761935485.523827,-1444256191.9757543,104711765.91785952,7283311020.779054,-1165900.025894966
1849-12-31,-2228976743.044646,-2952323083.202256,-761980160.7244583,-1444354109.4504805,104689598.95870756,7284092889.451427,-1130036.1989251864
1850-12-31,-2229319721.5834427,-2952669623.0342035,-762026931.2555372,-1444451687.282342,104666043.44104302,7284965292.194244,-1144067.8762170875
1851-12-31,-2229705759.944689,-2953068387.010881,-762078797.7733595,-1444556745.4807444,104639250.3206259,7286023455.63419,-1231351.6180026403
1852-12-31,-2230104555.26263,-2953480833.6606827,-762133527.8027898,-1444664783.4954274,104611368.07424237,7287084014.81393,-1282902.5562709237
