,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-2203215894.904225,-2836843508.941537,-959794321.0823295,-1727413456.8942215,-37096344.64425424,7768905060.121404,-4429084.682043767
1801-12-31,-2204380986.1793528,-2838208190.5444326,-959968697.1662855,-1727728430.8171463,-37159766.5394797,7769392705.588606,-1849262.7893919165
1802-12-31,-2204727965.758563,-2838707269.9021363,-960083269.31852,-1727897216.4122603,-37193437.486001134,7769880103.781809,-1217478.9831875372
1803-12-31,-2204980601.616948,-2839055965.847551,-960166557.9378568,-1728024844.5954165,-37218263.517505676,7770367259.898632,-890174.1004858164
1804-12-31,-2205195780.4492354,-2839337665.8262672,-960233011.2257605,-1728131699.3435342,-37239868.81938091,7770855626.011287,-692386.6894573482
1805-12-31,-2205391776.8101635,-2839579903.877968,-960289747.0703496,-1728225697.8713238,-37260207.99182597,7771342835.456155,-561262.6306703695
1806-12-31,-2205591652.9736533,-2839806964.8732743,-960341176.2374436,-1728314338.560259,-37280000.22144082,7771829398.585611,-473910.4684560707
1807-12-31,-2205781472.8982162,-2840014197.482811,-960388859.3186728,-1728396680.490136,-37299628.892068595,7772316173.707252,-408982.20643666416
1808-12-31,-2205976789.207789,-2840215208.515873,-960434564.9659438,-1728476864.1141632,-37319098.11843127,7772804094.897594,-363396.10081197583
1809-12-31,-2206162013.3129153,-2840403632.8293324,-960478660.5147569,-1728552811.4457865,-37338777.403520465,7773290325.478613,-329427.54021124745
1810-12-31,-2206369632.0135016,-2840606311.549291,-960524513.8935966,-1728632950.8571508,-37359982.07090756,7773837063.692019,-320402.6400677316
1811-12-31,-2206612982.4709167,-2840839615.7420464,-960575835.9633473,-1728723871.0195322,-37384650.284579456,7774497104.318979,-336634.6517282425
1812-12-31,-2206863413.6284695,-2841075824.340425,-960629451.0196097,-1728818260.062761,-37410139.37985498,7775158938.964449,-338505.85528014536
1813-12-31,-2207118036.3783026,-2841311385.421632,-960683429.4179696,-1728914132.1138685,-37435449.42038739,7775818839.907339,-333112.0257807315
1814-12-31,-2207364864.408127,-2841541617.292763,-960738066.7173007,-1729009378.5435598,-37461614.28386828,7776478762.31378,-331632.8721807557
1815-12-31,-2207618835.531954,-2841774792.021837,-960792707.4352144,-1729105235.8509912,-37487513.25525126,7777138547.017409,-328544.3061794568
1816-12-31,-2207866503.1019797,-2842002081.4983616,-960847032.0338559,-1729200926.9431448,-37513522.92622033,7777800185.0633955,-321795.09967873927
1817-12-31,-2208126137.623364,-2842237374.447078,-960900731.4000151,-1729295824.128222,-37538650.835282356,7778459700.646379,-317364.34004355996
1818-12-31,-2208380178.5720315,-2842468636.4809985,-960954946.7526107,-1729391058.890654,-37564229.89117694,7779119318.30615,-317701.68335660186
1819-12-31,-2208627003.2158,-2842694686.2635965,-961009796.8551567,-1729487389.8181403,-37590703.18601254,7779778888.7650175,-320341.71702817344
1820-12-31,-2208863354.663896,-2842907936.090793,-961061453.9506836,-1729577921.6716118,-37614884.74737975,7780374772.565811,-303874.77508079243
1821-12-31,-2209055100.0306005,-2843076278.6753745,-961105078.2933518,-1729653447.5041003,-37634798.62192392,7780826079.996697,-259765.81733366358
1822-12-31,-2209229726.656645,-2843230171.3913646,-961144474.0815543,-1729722548.224894,-37653537.25996259,7781276543.810831,-233528.60120655503
1823-12-31,-2209406890.172726,-2843386988.6656985,-961182913.4522375,-1729789747.6583078,-37672290.23622802,7781727001.269571,-227844.50723027127
1824-12-31,-2209583564.0700493,-2843543380.6678495,-961220851.3756964,-1729855940.1823168,-37690910.666971356,7782177870.53709,-223308.23689643163
1825-12-31,-2209758982.0939474,-2843699087.12,-961258532.8249854,-1729921380.0487263,-37709448.58998677,7782627196.689129,-220281.06919391753
1826-12-31,-2209933769.2133555,-2843854156.6039295,-961296069.4510092,-1729986363.3238676,-37728000.321850896,7783075875.713857,-218241.09492394785
1827-12-31,-2210108113.8133283,-2844008905.4818535,-961333474.0596759,-1730051012.1681824,-37746515.08982584,7783523999.275161,-216847.11454305684
1828-12-31,-2210296051.689983,-2844174563.9402976,-961371502.5994012,-1730116090.5110683,-37764847.53729981,7783973180.704508,-218979.12810666236
1829-12-31,-2210457623.586549,-2844319676.493764,-961408691.0611098,-1730179964.4546285,-37783483.22896126,7784420604.78462,-212776.09362998215
1830-12-31,-2263741059.3034673,-2876844093.657551,-961456077.8905396,-1762134827.3277009,-37801261.21849197,7959582797.324857,-53717639.83413376
1831-12-31,-2274942735.210067,-2879807364.355894,-961502235.620914,-1775614265.1774957,-37817369.709044605,7959930855.769987,-29652153.630762454
1832-12-31,-2280616757.4764404,-2880782123.4877644,-961545569.7357465,-1782551130.1980042,-37833001.33883673,7960279936.572554,-16671927.047346609
1833-12-31,-2283881865.7349415,-2881310082.8211975,-961586459.17117,-1786268380.4541762,-37848140.06635219,7960627815.539694,-9571634.553214602
1834-12-31,-2285798019.863117,-2881655861.773475,-961625191.4491765,-1788318965.9703324,-37862758.62912735,7960975476.326824,-5600243.682176052
