,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-2347528354.1264944,-3121378325.0732155,-1289212304.8028278,-2473764411.744294,180108776.88955504,9053342588.594479,-1540811.6313496372
1801-12-31,-2348276605.4578543,-3122219591.205282,-1289069584.783517,-2473566622.8311653,180095574.9966451,9053705871.727255,-637899.7101398911
1802-12-31,-2348558682.7429485,-3122577467.7203465,-1288994565.319254,-2473473466.2003593,180086318.37049448,9054066526.412586,-525163.863624993
1803-12-31,-2348740272.2158713,-3122801486.8790927,-1288956335.5908525,-2473432310.5766244,180075382.8516212,9054425024.90099,-544840.3266602822
1804-12-31,-2348889350.802763,-3122975404.1976724,-1288941360.6314404,-2473418250.010705,180062376.71724516,9054784148.494526,-599276.0925431417
1805-12-31,-2349026172.1949487,-3123127700.8347483,-1288941698.5423756,-2473418743.9974675,180047820.66609192,9055137920.579365,-650772.3627349208
1806-12-31,-2349160132.1733603,-3123270911.6059895,-1288952929.694245,-2473427777.4524508,180032229.62858677,9055489853.6177,-696263.1560578997
1807-12-31,-2349293227.725317,-3123409027.8256006,-1288972088.248074,-2473441583.1094465,180015870.70143527,9055839956.788576,-728040.6678625743
1808-12-31,-2349425360.7223053,-3123543551.9046755,-1288997110.3945959,-2473458435.7268677,179999014.03407598,9056189568.2493,-745792.5308172987
1809-12-31,-2349559917.697268,-3123677256.740932,-1289026456.02368,-2473476664.8361325,179981896.89348078,9056534537.000906,-764764.7244265944
1810-12-31,-2349711777.4984875,-3123826158.416074,-1289062039.2546635,-2473502392.2058396,179962469.00711197,9056990853.423565,-830408.8274529128
1811-12-31,-2349931535.9528894,-3124039281.4607754,-1289111497.5957851,-2473553884.0618563,179935605.10977912,9057796640.401976,-1068325.462820254
1812-12-31,-2350186466.019648,-3124283037.0305057,-1289168969.3754313,-2473617351.7086735,179905811.917961,9058605183.209124,-1227554.67025522
1813-12-31,-2350461662.3814936,-3124543276.301024,-1289231820.0680754,-2473687686.3922553,179874631.8199165,9059409836.23632,-1330423.969359897
1814-12-31,-2350752350.6291833,-3124814901.9668694,-1289298513.9340227,-2473762169.8061028,179842669.1096908,9060214129.745853,-1402676.0763740377
1815-12-31,-2351049860.4249525,-3125092239.683672,-1289368289.674938,-2473839445.417945,179810200.22661006,9061017236.923306,-1451115.3656703304
1816-12-31,-2351350653.423189,-3125372610.329302,-1289440533.634291,-2473918863.804112,179777241.29032493,9061823273.359766,-1485784.8725063896
